Project,Model,Category,TP,TN,FP,FN,Total,Accuracy
AcornRobotElectronics,claude-sonnet-4.6,component_datasheet,1,11,0,8,20,0.6000
AcornRobotElectronics,claude-sonnet-4.6,spice_behaviour,1,5,0,14,20,0.3000
AcornRobotElectronics,claude-sonnet-4.6,theory_layout,14,5,0,1,20,0.9500
AcornRobotElectronics,gemini-3-flash-preview,component_datasheet,7,9,2,2,20,0.8000
AcornRobotElectronics,gemini-3-flash-preview,spice_behaviour,8,5,0,7,20,0.6500
AcornRobotElectronics,gemini-3-flash-preview,theory_layout,15,5,0,0,20,1.0000
AcornRobotElectronics,gpt-5.4-nano,component_datasheet,1,11,0,8,20,0.6000
AcornRobotElectronics,gpt-5.4-nano,spice_behaviour,0,5,0,15,20,0.2500
AcornRobotElectronics,gpt-5.4-nano,theory_layout,8,4,1,7,20,0.6000
CF-Chef,claude-sonnet-4.6,component_datasheet,4,6,1,9,20,0.5000
CF-Chef,claude-sonnet-4.6,spice_behaviour,4,12,0,4,20,0.8000
CF-Chef,claude-sonnet-4.6,theory_layout,13,6,1,0,20,0.9500
CF-Chef,gemini-3-flash-preview,component_datasheet,11,6,1,2,20,0.8500
CF-Chef,gemini-3-flash-preview,spice_behaviour,5,12,0,3,20,0.8500
CF-Chef,gemini-3-flash-preview,theory_layout,13,6,1,0,20,0.9500
CF-Chef,gpt-5.4-nano,component_datasheet,2,7,0,11,20,0.4500
CF-Chef,gpt-5.4-nano,spice_behaviour,2,12,0,6,20,0.7000
CF-Chef,gpt-5.4-nano,theory_layout,4,7,0,9,20,0.5500
CF-Chef,llama-3.3-70b-instruct,component_datasheet,3,7,0,10,20,0.5000
CF-Chef,llama-3.3-70b-instruct,spice_behaviour,0,12,0,8,20,0.6000
CF-Chef,llama-3.3-70b-instruct,theory_layout,7,6,0,6,19,0.6842
HadesFCS,claude-sonnet-4.6,component_datasheet,6,6,2,6,20,0.6000
HadesFCS,claude-sonnet-4.6,spice_behaviour,3,11,2,4,20,0.7000
HadesFCS,claude-sonnet-4.6,theory_layout,18,2,0,0,20,1.0000
HadesFCS,gemini-3-flash-preview,component_datasheet,8,7,1,4,20,0.7500
HadesFCS,gemini-3-flash-preview,spice_behaviour,5,12,1,2,20,0.8500
HadesFCS,gemini-3-flash-preview,theory_layout,18,2,0,0,20,1.0000
HadesFCS,gpt-5.4-nano,component_datasheet,3,8,0,9,20,0.5500
HadesFCS,gpt-5.4-nano,spice_behaviour,0,13,0,7,20,0.6500
HadesFCS,gpt-5.4-nano,theory_layout,12,2,0,6,20,0.7000
HadesFCS,llama-3.3-70b-instruct,component_datasheet,6,7,1,6,20,0.6500
HadesFCS,llama-3.3-70b-instruct,spice_behaviour,0,13,0,7,20,0.6500
HadesFCS,llama-3.3-70b-instruct,theory_layout,5,2,0,13,20,0.3500
Meshinger,claude-sonnet-4.6,component_datasheet,8,4,0,8,20,0.6000
Meshinger,claude-sonnet-4.6,spice_behaviour,9,8,0,3,20,0.8500
Meshinger,claude-sonnet-4.6,theory_layout,15,2,0,3,20,0.8500
Meshinger,gemini-3-flash-preview,component_datasheet,13,4,0,3,20,0.8500
Meshinger,gemini-3-flash-preview,spice_behaviour,7,8,0,5,20,0.7500
Meshinger,gemini-3-flash-preview,theory_layout,17,2,0,1,20,0.9500
Meshinger,gpt-5.4-nano,component_datasheet,2,4,0,14,20,0.3000
Meshinger,gpt-5.4-nano,spice_behaviour,1,8,0,11,20,0.4500
Meshinger,gpt-5.4-nano,theory_layout,11,2,0,7,20,0.6500
Meshinger,llama-3.3-70b-instruct,component_datasheet,1,4,0,15,20,0.2500
Meshinger,llama-3.3-70b-instruct,spice_behaviour,2,8,0,10,20,0.5000
Meshinger,llama-3.3-70b-instruct,theory_layout,10,2,0,8,20,0.6000
OPNhydro-r2,claude-sonnet-4.6,component_datasheet,11,5,1,3,20,0.8000
OPNhydro-r2,claude-sonnet-4.6,spice_behaviour,2,10,0,7,19,0.6316
OPNhydro-r2,claude-sonnet-4.6,theory_layout,14,4,1,1,20,0.9000
OPNhydro-r2,gemini-3-flash-preview,component_datasheet,12,6,0,2,20,0.9000
OPNhydro-r2,gemini-3-flash-preview,spice_behaviour,1,10,0,9,20,0.5500
OPNhydro-r2,gemini-3-flash-preview,theory_layout,15,4,1,0,20,0.9500
OPNhydro-r2,gpt-5.4-nano,component_datasheet,3,6,0,11,20,0.4500
