Project,Model,Category,TP,TN,FP,FN,Total,Accuracy
AcornRobotElectronics,claude-sonnet-4.6,component_datasheet,2,1,1,0,4,0.7500
AcornRobotElectronics,claude-sonnet-4.6,spice_behaviour,0,1,0,5,6,0.1667
AcornRobotElectronics,claude-sonnet-4.6,theory_layout,4,1,0,0,5,1.0000
AcornRobotElectronics,gemini-3-flash-preview,component_datasheet,2,1,1,0,4,0.7500
AcornRobotElectronics,gemini-3-flash-preview,spice_behaviour,0,1,0,5,6,0.1667
AcornRobotElectronics,gemini-3-flash-preview,theory_layout,3,1,0,1,5,0.8000
AcornRobotElectronics,gpt-5.4-nano,component_datasheet,2,1,1,0,4,0.7500
AcornRobotElectronics,gpt-5.4-nano,spice_behaviour,0,1,0,5,6,0.1667
AcornRobotElectronics,gpt-5.4-nano,theory_layout,4,1,0,0,5,1.0000
AcornRobotElectronics,llama-3.3-70b-instruct,component_datasheet,2,1,1,0,4,0.7500
AcornRobotElectronics,llama-3.3-70b-instruct,spice_behaviour,0,1,0,5,6,0.1667
AcornRobotElectronics,llama-3.3-70b-instruct,theory_layout,1,1,0,3,5,0.4000
CF-Chef,claude-sonnet-4.6,component_datasheet,3,1,0,2,6,0.6667
CF-Chef,claude-sonnet-4.6,spice_behaviour,0,2,0,3,5,0.4000
CF-Chef,claude-sonnet-4.6,theory_layout,0,3,0,1,4,0.7500
CF-Chef,gemini-3-flash-preview,component_datasheet,3,1,0,2,6,0.6667
CF-Chef,gemini-3-flash-preview,spice_behaviour,0,2,0,3,5,0.4000
CF-Chef,gemini-3-flash-preview,theory_layout,0,3,0,1,4,0.7500
CF-Chef,gpt-5.4-nano,component_datasheet,3,1,0,2,6,0.6667
CF-Chef,gpt-5.4-nano,spice_behaviour,0,2,0,3,5,0.4000
CF-Chef,gpt-5.4-nano,theory_layout,1,3,0,0,4,1.0000
CF-Chef,llama-3.3-70b-instruct,component_datasheet,2,1,0,3,6,0.5000
CF-Chef,llama-3.3-70b-instruct,spice_behaviour,0,2,0,3,5,0.4000
CF-Chef,llama-3.3-70b-instruct,theory_layout,0,3,0,1,4,0.7500
HadesFCS,claude-sonnet-4.6,component_datasheet,1,4,0,1,6,0.8333
HadesFCS,claude-sonnet-4.6,spice_behaviour,0,3,0,2,5,0.6000
HadesFCS,claude-sonnet-4.6,theory_layout,3,1,0,0,4,1.0000
HadesFCS,gemini-3-flash-preview,component_datasheet,1,4,0,1,6,0.8333
