Project,Model,Category,TP,TN,FP,FN,Total,Accuracy
AcornRobotElectronics,claude-sonnet-4.6,component_datasheet,5,9,2,4,20,0.7000
AcornRobotElectronics,claude-sonnet-4.6,spice_behaviour,14,5,0,1,20,0.9500
AcornRobotElectronics,claude-sonnet-4.6,theory_layout,15,5,0,0,20,1.0000
AcornRobotElectronics,gemini-3-flash-preview,component_datasheet,8,9,2,1,20,0.8500
AcornRobotElectronics,gemini-3-flash-preview,spice_behaviour,14,5,0,1,20,0.9500
AcornRobotElectronics,gemini-3-flash-preview,theory_layout,15,5,0,0,20,1.0000
AcornRobotElectronics,gpt-5.4-nano,component_datasheet,6,9,2,3,20,0.7500
AcornRobotElectronics,gpt-5.4-nano,spice_behaviour,14,5,0,1,20,0.9500
AcornRobotElectronics,gpt-5.4-nano,theory_layout,15,5,0,0,20,1.0000
AcornRobotElectronics,llama-3.3-70b-instruct,component_datasheet,5,9,2,4,20,0.7000
AcornRobotElectronics,llama-3.3-70b-instruct,spice_behaviour,14,5,0,1,20,0.9500
AcornRobotElectronics,llama-3.3-70b-instruct,theory_layout,15,5,0,0,20,1.0000
CF-Chef,claude-sonnet-4.6,component_datasheet,8,7,0,5,20,0.7500
CF-Chef,claude-sonnet-4.6,spice_behaviour,8,12,0,0,20,1.0000
CF-Chef,claude-sonnet-4.6,theory_layout,13,6,1,0,20,0.9500
CF-Chef,gemini-3-flash-preview,component_datasheet,9,7,0,4,20,0.8000
CF-Chef,gemini-3-flash-preview,spice_behaviour,8,12,0,0,20,1.0000
CF-Chef,gemini-3-flash-preview,theory_layout,13,6,1,0,20,0.9500
CF-Chef,gpt-5.4-nano,component_datasheet,6,7,0,7,20,0.6500
CF-Chef,gpt-5.4-nano,spice_behaviour,8,12,0,0,20,1.0000
CF-Chef,gpt-5.4-nano,theory_layout,13,6,1,0,20,0.9500
CF-Chef,llama-3.3-70b-instruct,component_datasheet,5,7,0,8,20,0.6000
CF-Chef,llama-3.3-70b-instruct,spice_behaviour,8,12,0,0,20,1.0000
CF-Chef,llama-3.3-70b-instruct,theory_layout,13,6,1,0,20,0.9500
HadesFCS,claude-sonnet-4.6,component_datasheet,10,8,0,2,20,0.9000
HadesFCS,claude-sonnet-4.6,spice_behaviour,7,10,3,0,20,0.8500
HadesFCS,claude-sonnet-4.6,theory_layout,18,2,0,0,20,1.0000
HadesFCS,gemini-3-flash-preview,component_datasheet,9,8,0,3,20,0.8500
HadesFCS,gemini-3-flash-preview,spice_behaviour,7,10,3,0,20,0.8500
HadesFCS,gemini-3-flash-preview,theory_layout,18,2,0,0,20,1.0000
HadesFCS,gpt-5.4-nano,component_datasheet,8,8,0,4,20,0.8000
HadesFCS,gpt-5.4-nano,spice_behaviour,7,10,3,0,20,0.8500
HadesFCS,gpt-5.4-nano,theory_layout,18,2,0,0,20,1.0000
HadesFCS,llama-3.3-70b-instruct,component_datasheet,6,8,0,6,20,0.7000
HadesFCS,llama-3.3-70b-instruct,spice_behaviour,6,10,3,1,20,0.8000
HadesFCS,llama-3.3-70b-instruct,theory_layout,18,2,0,0,20,1.0000
Meshinger,claude-sonnet-4.6,component_datasheet,7,4,0,9,20,0.5500
Meshinger,claude-sonnet-4.6,spice_behaviour,11,8,0,1,20,0.9500
Meshinger,claude-sonnet-4.6,theory_layout,15,2,0,2,19,0.8947
Meshinger,gemini-3-flash-preview,component_datasheet,14,4,0,2,20,0.9000
Meshinger,gemini-3-flash-preview,spice_behaviour,11,8,0,1,20,0.9500
Meshinger,gemini-3-flash-preview,theory_layout,16,2,0,2,20,0.9000
Meshinger,gpt-5.4-nano,component_datasheet,7,4,0,9,20,0.5500
Meshinger,gpt-5.4-nano,spice_behaviour,11,8,0,1,20,0.9500
Meshinger,gpt-5.4-nano,theory_layout,16,2,0,2,20,0.9000
Meshinger,llama-3.3-70b-instruct,component_datasheet,5,4,0,11,20,0.4500
Meshinger,llama-3.3-70b-instruct,spice_behaviour,8,8,0,4,20,0.8000
Meshinger,llama-3.3-70b-instruct,theory_layout,16,2,0,2,20,0.9000
OPNhydro-r2,claude-sonnet-4.6,component_datasheet,11,6,0,3,20,0.8500
OPNhydro-r2,claude-sonnet-4.6,spice_behaviour,9,10,0,1,20,0.9500
OPNhydro-r2,claude-sonnet-4.6,theory_layout,15,4,1,0,20,0.9500
OPNhydro-r2,gemini-3-flash-preview,component_datasheet,11,6,0,3,20,0.8500
OPNhydro-r2,gemini-3-flash-preview,spice_behaviour,9,10,0,1,20,0.9500
OPNhydro-r2,gemini-3-flash-preview,theory_layout,15,4,1,0,20,0.9500
OPNhydro-r2,gpt-5.4-nano,component_datasheet,9,6,0,5,20,0.7500
OPNhydro-r2,gpt-5.4-nano,spice_behaviour,9,10,0,1,20,0.9500
OPNhydro-r2,gpt-5.4-nano,theory_layout,15,4,1,0,20,0.9500
OPNhydro-r2,llama-3.3-70b-instruct,component_datasheet,8,6,0,6,20,0.7000
OPNhydro-r2,llama-3.3-70b-instruct,spice_behaviour,8,10,0,2,20,0.9000
OPNhydro-r2,llama-3.3-70b-instruct,theory_layout,15,4,1,0,20,0.9500
PortalHardware,claude-sonnet-4.6,component_datasheet,10,5,0,5,20,0.7500
PortalHardware,claude-sonnet-4.6,spice_behaviour,9,11,0,0,20,1.0000
PortalHardware,claude-sonnet-4.6,theory_layout,18,2,0,0,20,1.0000
PortalHardware,gemini-3-flash-preview,component_datasheet,13,5,0,2,20,0.9000
PortalHardware,gemini-3-flash-preview,spice_behaviour,9,11,0,0,20,1.0000
PortalHardware,gemini-3-flash-preview,theory_layout,18,2,0,0,20,1.0000
PortalHardware,gpt-5.4-nano,component_datasheet,5,5,0,10,20,0.5000
PortalHardware,gpt-5.4-nano,spice_behaviour,9,11,0,0,20,1.0000
PortalHardware,gpt-5.4-nano,theory_layout,18,2,0,0,20,1.0000
PortalHardware,llama-3.3-70b-instruct,component_datasheet,4,5,0,11,20,0.4500
PortalHardware,llama-3.3-70b-instruct,spice_behaviour,9,11,0,0,20,1.0000
PortalHardware,llama-3.3-70b-instruct,theory_layout,18,2,0,0,20,1.0000
fan_controller,claude-sonnet-4.6,component_datasheet,10,7,0,3,20,0.8500
fan_controller,claude-sonnet-4.6,spice_behaviour,8,9,1,2,20,0.8500
fan_controller,claude-sonnet-4.6,theory_layout,16,4,0,0,20,1.0000
fan_controller,gemini-3-flash-preview,component_datasheet,11,7,0,2,20,0.9000
fan_controller,gemini-3-flash-preview,spice_behaviour,8,9,1,2,20,0.8500
fan_controller,gemini-3-flash-preview,theory_layout,16,4,0,0,20,1.0000
fan_controller,gpt-5.4-nano,component_datasheet,9,7,0,4,20,0.8000
fan_controller,gpt-5.4-nano,spice_behaviour,8,9,1,2,20,0.8500
fan_controller,gpt-5.4-nano,theory_layout,16,4,0,0,20,1.0000
fan_controller,llama-3.3-70b-instruct,component_datasheet,9,6,1,4,20,0.7500
fan_controller,llama-3.3-70b-instruct,spice_behaviour,6,10,0,4,20,0.8000
fan_controller,llama-3.3-70b-instruct,theory_layout,16,4,0,0,20,1.0000
stack-chan,claude-sonnet-4.6,component_datasheet,6,13,0,1,20,0.9500
stack-chan,claude-sonnet-4.6,spice_behaviour,6,14,0,0,20,1.0000
stack-chan,claude-sonnet-4.6,theory_layout,15,5,0,0,20,1.0000
stack-chan,gemini-3-flash-preview,component_datasheet,7,13,0,0,20,1.0000
stack-chan,gemini-3-flash-preview,spice_behaviour,6,14,0,0,20,1.0000
stack-chan,gemini-3-flash-preview,theory_layout,15,5,0,0,20,1.0000
stack-chan,gpt-5.4-nano,component_datasheet,6,13,0,1,20,0.9500
stack-chan,gpt-5.4-nano,spice_behaviour,6,14,0,0,20,1.0000
stack-chan,gpt-5.4-nano,theory_layout,15,5,0,0,20,1.0000
stack-chan,llama-3.3-70b-instruct,component_datasheet,5,13,0,2,20,0.9000
stack-chan,llama-3.3-70b-instruct,spice_behaviour,5,14,0,1,20,0.9500
stack-chan,llama-3.3-70b-instruct,theory_layout,15,5,0,0,20,1.0000
TOTAL,,,1035,672,32,180,1919,0.8895
