Model,Question,Category,Actual_Response,Predicted_Response
claude-sonnet-4.6,Q1,component_datasheet,YES,YES
claude-sonnet-4.6,Q2,spice_behaviour,YES,NO
claude-sonnet-4.6,Q3,theory_layout,YES,YES
claude-sonnet-4.6,Q4,spice_behaviour,NO,NO
claude-sonnet-4.6,Q5,spice_behaviour,YES,YES
claude-sonnet-4.6,Q6,component_datasheet,YES,YES
claude-sonnet-4.6,Q7,spice_behaviour,YES,YES
claude-sonnet-4.6,Q8,theory_layout,YES,YES
claude-sonnet-4.6,Q9,component_datasheet,NO,YES
claude-sonnet-4.6,Q10,theory_layout,YES,YES
claude-sonnet-4.6,Q11,spice_behaviour,YES,YES
claude-sonnet-4.6,Q12,component_datasheet,NO,NO
claude-sonnet-4.6,Q13,theory_layout,YES,NO
claude-sonnet-4.6,Q14,theory_layout,NO,NO
claude-sonnet-4.6,Q15,spice_behaviour,YES,YES
Accuracy,Precision,Recall,F1 Score
0.8,0.75,0.7840909090909092,0.7619047619047619
