Model,Question,Category,Actual_Response,Predicted_Response
gemini-3-flash-preview,Q1,component_datasheet,YES,YES
gemini-3-flash-preview,Q2,spice_behaviour,YES,NO
gemini-3-flash-preview,Q3,theory_layout,YES,YES
gemini-3-flash-preview,Q4,spice_behaviour,NO,NO
gemini-3-flash-preview,Q5,spice_behaviour,YES,YES
gemini-3-flash-preview,Q6,component_datasheet,YES,NO
gemini-3-flash-preview,Q7,spice_behaviour,YES,NO
gemini-3-flash-preview,Q8,theory_layout,YES,YES
gemini-3-flash-preview,Q9,component_datasheet,NO,YES
gemini-3-flash-preview,Q10,theory_layout,YES,YES
gemini-3-flash-preview,Q11,spice_behaviour,YES,YES
gemini-3-flash-preview,Q12,component_datasheet,NO,NO
gemini-3-flash-preview,Q13,theory_layout,YES,YES
gemini-3-flash-preview,Q14,theory_layout,NO,NO
gemini-3-flash-preview,Q15,spice_behaviour,YES,YES
gemini-3-flash-preview,Q16,theory_layout,NO,NO
gemini-3-flash-preview,Q17,spice_behaviour,YES,YES
gemini-3-flash-preview,Q18,spice_behaviour,YES,YES
gemini-3-flash-preview,Q19,theory_layout,YES,YES
gemini-3-flash-preview,Q20,theory_layout,YES,YES
gemini-3-flash-preview,Q21,spice_behaviour,YES,NO
gemini-3-flash-preview,Q22,component_datasheet,NO,NO
gemini-3-flash-preview,Q23,component_datasheet,NO,NO
gemini-3-flash-preview,Q24,spice_behaviour,YES,YES
gemini-3-flash-preview,Q25,theory_layout,YES,NO
gemini-3-flash-preview,Q26,component_datasheet,NO,NO
gemini-3-flash-preview,Q27,component_datasheet,NO,NO
gemini-3-flash-preview,Q28,spice_behaviour,YES,YES
gemini-3-flash-preview,Q29,theory_layout,YES,NO
gemini-3-flash-preview,Q30,spice_behaviour,YES,YES
gemini-3-flash-preview,Q31,theory_layout,YES,YES
gemini-3-flash-preview,Q32,component_datasheet,YES,NO
gemini-3-flash-preview,Q33,spice_behaviour,YES,YES
gemini-3-flash-preview,Q34,component_datasheet,NO,NO
gemini-3-flash-preview,Q35,spice_behaviour,YES,NO
gemini-3-flash-preview,Q36,theory_layout,NO,NO
gemini-3-flash-preview,Q37,component_datasheet,NO,NO
gemini-3-flash-preview,Q38,spice_behaviour,YES,YES
gemini-3-flash-preview,Q39,component_datasheet,YES,YES
gemini-3-flash-preview,Q40,theory_layout,NO,NO
gemini-3-flash-preview,Q41,component_datasheet,YES,NO
gemini-3-flash-preview,Q42,theory_layout,YES,YES
gemini-3-flash-preview,Q43,component_datasheet,YES,YES
gemini-3-flash-preview,Q44,spice_behaviour,NO,NO
gemini-3-flash-preview,Q45,component_datasheet,NO,NO
gemini-3-flash-preview,Q46,component_datasheet,YES,YES
gemini-3-flash-preview,Q47,component_datasheet,NO,YES
gemini-3-flash-preview,Q48,spice_behaviour,NO,NO
gemini-3-flash-preview,Q49,theory_layout,YES,YES
gemini-3-flash-preview,Q50,component_datasheet,NO,NO
gemini-3-flash-preview,Q51,spice_behaviour,NO,NO
gemini-3-flash-preview,Q52,theory_layout,NO,NO
gemini-3-flash-preview,Q53,theory_layout,YES,YES
gemini-3-flash-preview,Q54,component_datasheet,YES,YES
gemini-3-flash-preview,Q55,spice_behaviour,NO,NO
gemini-3-flash-preview,Q56,theory_layout,YES,YES
gemini-3-flash-preview,Q57,theory_layout,YES,YES
gemini-3-flash-preview,Q58,theory_layout,YES,YES
gemini-3-flash-preview,Q59,spice_behaviour,YES,YES
gemini-3-flash-preview,Q60,component_datasheet,YES,YES
Accuracy,Precision,Recall,F1 Score
0.8166666666666667,0.8080357142857143,0.836996336996337,0.8102903133084219
