Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,component_datasheet,YES,YES
gpt-5.4-nano,Q2,spice_behaviour,YES,NO
gpt-5.4-nano,Q3,theory_layout,YES,NO
gpt-5.4-nano,Q4,spice_behaviour,NO,NO
gpt-5.4-nano,Q5,spice_behaviour,YES,YES
gpt-5.4-nano,Q6,component_datasheet,YES,YES
gpt-5.4-nano,Q7,spice_behaviour,YES,YES
gpt-5.4-nano,Q8,theory_layout,YES,NO
gpt-5.4-nano,Q9,component_datasheet,NO,YES
gpt-5.4-nano,Q10,theory_layout,YES,NO
gpt-5.4-nano,Q11,spice_behaviour,YES,YES
gpt-5.4-nano,Q12,component_datasheet,NO,NO
gpt-5.4-nano,Q13,theory_layout,YES,NO
gpt-5.4-nano,Q14,theory_layout,NO,NO
gpt-5.4-nano,Q15,spice_behaviour,YES,YES
gpt-5.4-nano,Q16,theory_layout,NO,NO
gpt-5.4-nano,Q17,spice_behaviour,YES,YES
gpt-5.4-nano,Q18,spice_behaviour,YES,YES
gpt-5.4-nano,Q19,theory_layout,YES,NO
gpt-5.4-nano,Q20,theory_layout,YES,NO
gpt-5.4-nano,Q21,spice_behaviour,YES,NO
gpt-5.4-nano,Q22,component_datasheet,NO,NO
gpt-5.4-nano,Q23,component_datasheet,NO,NO
gpt-5.4-nano,Q24,spice_behaviour,YES,YES
gpt-5.4-nano,Q25,theory_layout,YES,NO
gpt-5.4-nano,Q26,component_datasheet,NO,NO
gpt-5.4-nano,Q27,component_datasheet,NO,YES
gpt-5.4-nano,Q28,spice_behaviour,YES,YES
gpt-5.4-nano,Q29,theory_layout,YES,NO
gpt-5.4-nano,Q30,spice_behaviour,YES,YES
gpt-5.4-nano,Q31,theory_layout,YES,NO
gpt-5.4-nano,Q32,component_datasheet,YES,NO
gpt-5.4-nano,Q33,spice_behaviour,YES,YES
gpt-5.4-nano,Q34,component_datasheet,NO,NO
gpt-5.4-nano,Q35,spice_behaviour,YES,YES
gpt-5.4-nano,Q36,theory_layout,NO,NO
gpt-5.4-nano,Q37,component_datasheet,NO,NO
gpt-5.4-nano,Q38,spice_behaviour,YES,YES
gpt-5.4-nano,Q39,component_datasheet,YES,YES
gpt-5.4-nano,Q40,theory_layout,NO,NO
gpt-5.4-nano,Q41,component_datasheet,YES,YES
gpt-5.4-nano,Q42,theory_layout,YES,NO
gpt-5.4-nano,Q43,component_datasheet,YES,YES
gpt-5.4-nano,Q44,spice_behaviour,NO,NO
gpt-5.4-nano,Q45,component_datasheet,NO,NO
gpt-5.4-nano,Q46,component_datasheet,YES,NO
gpt-5.4-nano,Q47,component_datasheet,NO,YES
gpt-5.4-nano,Q48,spice_behaviour,NO,NO
gpt-5.4-nano,Q49,theory_layout,YES,NO
gpt-5.4-nano,Q50,component_datasheet,NO,NO
gpt-5.4-nano,Q51,spice_behaviour,NO,NO
gpt-5.4-nano,Q52,theory_layout,NO,NO
gpt-5.4-nano,Q53,theory_layout,YES,NO
gpt-5.4-nano,Q54,component_datasheet,YES,YES
gpt-5.4-nano,Q55,spice_behaviour,NO,NO
gpt-5.4-nano,Q56,theory_layout,YES,NO
gpt-5.4-nano,Q57,theory_layout,YES,NO
gpt-5.4-nano,Q58,theory_layout,YES,NO
gpt-5.4-nano,Q59,spice_behaviour,YES,YES
gpt-5.4-nano,Q60,component_datasheet,YES,NO
Accuracy,Precision,Recall,F1 Score
0.6166666666666667,0.6686602870813397,0.6721611721611721,0.6165601555987774
