Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q2,spice_behaviour,YES,N/A
llama-3.3-70b-instruct,Q3,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q4,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q5,spice_behaviour,YES,N/A
llama-3.3-70b-instruct,Q6,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q7,spice_behaviour,YES,N/A
llama-3.3-70b-instruct,Q8,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q9,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q10,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q11,spice_behaviour,YES,N/A
llama-3.3-70b-instruct,Q12,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q13,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q14,theory_layout,NO,N/A
llama-3.3-70b-instruct,Q15,spice_behaviour,YES,N/A
Accuracy,Precision,Recall,F1 Score
0.0,0.0,0.0,0.0
