Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q2,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q3,theory_layout,YES,NO
llama-3.3-70b-instruct,Q4,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q5,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q6,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q7,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q8,theory_layout,YES,NO
llama-3.3-70b-instruct,Q9,component_datasheet,NO,YES
llama-3.3-70b-instruct,Q10,theory_layout,YES,YES
llama-3.3-70b-instruct,Q11,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q12,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q13,theory_layout,YES,NO
llama-3.3-70b-instruct,Q14,theory_layout,NO,NO
llama-3.3-70b-instruct,Q15,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q16,theory_layout,NO,NO
llama-3.3-70b-instruct,Q17,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q18,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q19,theory_layout,YES,YES
llama-3.3-70b-instruct,Q20,theory_layout,YES,NO
llama-3.3-70b-instruct,Q21,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q22,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q23,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q24,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q25,theory_layout,YES,YES
llama-3.3-70b-instruct,Q26,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q27,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q28,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q29,theory_layout,YES,YES
llama-3.3-70b-instruct,Q30,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q31,theory_layout,YES,NO
llama-3.3-70b-instruct,Q32,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q33,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q34,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q35,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q36,theory_layout,NO,NO
llama-3.3-70b-instruct,Q37,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q38,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q39,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q40,theory_layout,NO,NO
llama-3.3-70b-instruct,Q41,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q42,theory_layout,YES,NO
llama-3.3-70b-instruct,Q43,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q44,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q45,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q46,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q47,component_datasheet,NO,YES
llama-3.3-70b-instruct,Q48,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q49,theory_layout,YES,YES
llama-3.3-70b-instruct,Q50,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q51,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q52,theory_layout,NO,NO
llama-3.3-70b-instruct,Q53,theory_layout,YES,YES
llama-3.3-70b-instruct,Q54,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q55,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q56,theory_layout,YES,NO
llama-3.3-70b-instruct,Q57,theory_layout,YES,NO
llama-3.3-70b-instruct,Q58,theory_layout,YES,NO
llama-3.3-70b-instruct,Q59,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q60,component_datasheet,YES,NO
Accuracy,Precision,Recall,F1 Score
0.5,0.6252045826513911,0.5934065934065934,0.4909502262443439
