Model,Question,Category,Actual_Response,Predicted_Response
claude-sonnet-4.6,Q1,component_datasheet,YES,NO
claude-sonnet-4.6,Q2,spice_behaviour,NO,NO
claude-sonnet-4.6,Q3,theory_layout,YES,YES
claude-sonnet-4.6,Q4,component_datasheet,YES,YES
claude-sonnet-4.6,Q5,component_datasheet,YES,NO
claude-sonnet-4.6,Q6,spice_behaviour,YES,YES
claude-sonnet-4.6,Q7,component_datasheet,NO,NO
claude-sonnet-4.6,Q8,spice_behaviour,YES,YES
claude-sonnet-4.6,Q9,theory_layout,NO,NO
claude-sonnet-4.6,Q10,spice_behaviour,NO,NO
claude-sonnet-4.6,Q11,component_datasheet,YES,NO
claude-sonnet-4.6,Q12,theory_layout,NO,NO
claude-sonnet-4.6,Q13,spice_behaviour,YES,YES
claude-sonnet-4.6,Q14,component_datasheet,YES,YES
claude-sonnet-4.6,Q15,theory_layout,NO,NO
Accuracy,Precision,Recall,F1 Score
0.8,0.8333333333333333,0.8333333333333333,0.8
