Model,Question,Category,Actual_Response,Predicted_Response
gemini-3-flash-preview,Q1,component_datasheet,YES,NO
gemini-3-flash-preview,Q2,spice_behaviour,NO,NO
gemini-3-flash-preview,Q3,theory_layout,YES,YES
gemini-3-flash-preview,Q4,component_datasheet,YES,YES
gemini-3-flash-preview,Q5,component_datasheet,YES,YES
gemini-3-flash-preview,Q6,spice_behaviour,YES,YES
gemini-3-flash-preview,Q7,component_datasheet,NO,NO
gemini-3-flash-preview,Q8,spice_behaviour,YES,YES
gemini-3-flash-preview,Q9,theory_layout,NO,NO
gemini-3-flash-preview,Q10,spice_behaviour,NO,NO
gemini-3-flash-preview,Q11,component_datasheet,YES,YES
gemini-3-flash-preview,Q12,theory_layout,NO,NO
gemini-3-flash-preview,Q13,spice_behaviour,YES,YES
gemini-3-flash-preview,Q14,component_datasheet,YES,YES
gemini-3-flash-preview,Q15,theory_layout,NO,NO
gemini-3-flash-preview,Q16,component_datasheet,NO,NO
gemini-3-flash-preview,Q17,spice_behaviour,NO,NO
gemini-3-flash-preview,Q18,component_datasheet,NO,NO
gemini-3-flash-preview,Q19,theory_layout,YES,YES
gemini-3-flash-preview,Q20,theory_layout,YES,YES
gemini-3-flash-preview,Q21,spice_behaviour,YES,NO
gemini-3-flash-preview,Q22,component_datasheet,YES,YES
gemini-3-flash-preview,Q23,component_datasheet,NO,NO
gemini-3-flash-preview,Q24,spice_behaviour,YES,YES
gemini-3-flash-preview,Q25,theory_layout,YES,YES
gemini-3-flash-preview,Q26,spice_behaviour,NO,NO
gemini-3-flash-preview,Q27,component_datasheet,YES,YES
gemini-3-flash-preview,Q28,theory_layout,NO,NO
gemini-3-flash-preview,Q29,spice_behaviour,NO,NO
gemini-3-flash-preview,Q30,theory_layout,YES,YES
gemini-3-flash-preview,Q31,component_datasheet,NO,NO
gemini-3-flash-preview,Q32,spice_behaviour,YES,NO
gemini-3-flash-preview,Q33,theory_layout,YES,YES
gemini-3-flash-preview,Q34,theory_layout,YES,YES
gemini-3-flash-preview,Q35,spice_behaviour,NO,NO
gemini-3-flash-preview,Q36,component_datasheet,YES,YES
gemini-3-flash-preview,Q37,theory_layout,YES,YES
gemini-3-flash-preview,Q38,spice_behaviour,NO,NO
gemini-3-flash-preview,Q39,component_datasheet,NO,NO
gemini-3-flash-preview,Q40,spice_behaviour,YES,YES
gemini-3-flash-preview,Q41,theory_layout,YES,YES
gemini-3-flash-preview,Q42,component_datasheet,YES,YES
gemini-3-flash-preview,Q43,spice_behaviour,NO,NO
gemini-3-flash-preview,Q44,theory_layout,YES,YES
gemini-3-flash-preview,Q45,component_datasheet,YES,YES
gemini-3-flash-preview,Q46,spice_behaviour,NO,NO
gemini-3-flash-preview,Q47,theory_layout,YES,YES
gemini-3-flash-preview,Q48,theory_layout,YES,YES
gemini-3-flash-preview,Q49,component_datasheet,YES,NO
gemini-3-flash-preview,Q50,spice_behaviour,NO,NO
gemini-3-flash-preview,Q51,theory_layout,NO,NO
gemini-3-flash-preview,Q52,component_datasheet,YES,NO
gemini-3-flash-preview,Q53,spice_behaviour,YES,YES
gemini-3-flash-preview,Q54,theory_layout,YES,YES
gemini-3-flash-preview,Q55,component_datasheet,NO,NO
gemini-3-flash-preview,Q56,spice_behaviour,NO,NO
gemini-3-flash-preview,Q57,theory_layout,NO,NO
gemini-3-flash-preview,Q58,component_datasheet,YES,YES
gemini-3-flash-preview,Q59,spice_behaviour,NO,NO
gemini-3-flash-preview,Q60,theory_layout,NO,YES
Accuracy,Precision,Recall,F1 Score
0.9,0.9,0.9072398190045249,0.8995535714285714
