Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,component_datasheet,YES,NO
gpt-5.4-nano,Q2,spice_behaviour,NO,NO
gpt-5.4-nano,Q3,theory_layout,YES,NO
gpt-5.4-nano,Q4,component_datasheet,YES,NO
gpt-5.4-nano,Q5,component_datasheet,YES,NO
gpt-5.4-nano,Q6,spice_behaviour,YES,NO
gpt-5.4-nano,Q7,component_datasheet,NO,NO
gpt-5.4-nano,Q8,spice_behaviour,YES,NO
gpt-5.4-nano,Q9,theory_layout,NO,NO
gpt-5.4-nano,Q10,spice_behaviour,NO,NO
gpt-5.4-nano,Q11,component_datasheet,YES,NO
gpt-5.4-nano,Q12,theory_layout,NO,YES
gpt-5.4-nano,Q13,spice_behaviour,YES,NO
gpt-5.4-nano,Q14,component_datasheet,YES,NO
gpt-5.4-nano,Q15,theory_layout,NO,NO
Accuracy,Precision,Recall,F1 Score
0.3333333333333333,0.17857142857142858,0.4166666666666667,0.25
