Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,component_datasheet,YES,YES
gpt-5.4-nano,Q2,spice_behaviour,NO,NO
gpt-5.4-nano,Q3,theory_layout,YES,YES
gpt-5.4-nano,Q4,component_datasheet,YES,YES
gpt-5.4-nano,Q5,component_datasheet,YES,NO
gpt-5.4-nano,Q6,spice_behaviour,YES,NO
gpt-5.4-nano,Q7,component_datasheet,NO,NO
gpt-5.4-nano,Q8,spice_behaviour,YES,NO
gpt-5.4-nano,Q9,theory_layout,NO,NO
gpt-5.4-nano,Q10,spice_behaviour,NO,NO
gpt-5.4-nano,Q11,component_datasheet,YES,NO
gpt-5.4-nano,Q12,theory_layout,NO,NO
gpt-5.4-nano,Q13,spice_behaviour,YES,NO
gpt-5.4-nano,Q14,component_datasheet,YES,YES
gpt-5.4-nano,Q15,theory_layout,NO,NO
Accuracy,Precision,Recall,F1 Score
0.6666666666666666,0.7727272727272727,0.7222222222222222,0.660633484162896
