Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q2,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q3,theory_layout,YES,YES
llama-3.3-70b-instruct,Q4,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q5,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q6,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q7,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q8,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q9,theory_layout,NO,NO
llama-3.3-70b-instruct,Q10,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q11,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q12,theory_layout,NO,NO
llama-3.3-70b-instruct,Q13,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q14,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q15,theory_layout,NO,NO
llama-3.3-70b-instruct,Q16,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q17,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q18,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q19,theory_layout,YES,YES
llama-3.3-70b-instruct,Q20,theory_layout,YES,YES
llama-3.3-70b-instruct,Q21,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q22,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q23,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q24,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q25,theory_layout,YES,YES
llama-3.3-70b-instruct,Q26,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q27,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q28,theory_layout,NO,NO
llama-3.3-70b-instruct,Q29,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q30,theory_layout,YES,YES
llama-3.3-70b-instruct,Q31,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q32,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q33,theory_layout,YES,YES
llama-3.3-70b-instruct,Q34,theory_layout,YES,YES
llama-3.3-70b-instruct,Q35,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q36,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q37,theory_layout,YES,YES
llama-3.3-70b-instruct,Q38,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q39,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q40,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q41,theory_layout,YES,YES
llama-3.3-70b-instruct,Q42,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q43,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q44,theory_layout,YES,YES
llama-3.3-70b-instruct,Q45,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q46,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q47,theory_layout,YES,YES
llama-3.3-70b-instruct,Q48,theory_layout,YES,YES
llama-3.3-70b-instruct,Q49,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q50,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q51,theory_layout,NO,NO
llama-3.3-70b-instruct,Q52,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q53,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q54,theory_layout,YES,YES
llama-3.3-70b-instruct,Q55,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q56,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q57,theory_layout,NO,NO
llama-3.3-70b-instruct,Q58,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q59,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q60,theory_layout,NO,YES
Accuracy,Precision,Recall,F1 Score
0.85,0.8602693602693603,0.8631221719457014,0.8499583217560434
