Model,Question,Category,Actual_Response,Predicted_Response
claude-sonnet-4.6,Q1,component_datasheet,YES,NO
claude-sonnet-4.6,Q2,spice_behaviour,YES,NO
claude-sonnet-4.6,Q3,theory_layout,YES,NO
claude-sonnet-4.6,Q4,spice_behaviour,NO,NO
claude-sonnet-4.6,Q5,spice_behaviour,YES,NO
claude-sonnet-4.6,Q6,component_datasheet,YES,NO
claude-sonnet-4.6,Q7,spice_behaviour,YES,NO
claude-sonnet-4.6,Q8,theory_layout,YES,YES
claude-sonnet-4.6,Q9,component_datasheet,NO,NO
claude-sonnet-4.6,Q10,theory_layout,YES,YES
claude-sonnet-4.6,Q11,spice_behaviour,YES,NO
claude-sonnet-4.6,Q12,component_datasheet,NO,NO
claude-sonnet-4.6,Q13,theory_layout,YES,YES
claude-sonnet-4.6,Q14,theory_layout,NO,NO
claude-sonnet-4.6,Q15,spice_behaviour,YES,YES
claude-sonnet-4.6,Q16,theory_layout,NO,NO
claude-sonnet-4.6,Q17,spice_behaviour,YES,NO
claude-sonnet-4.6,Q18,spice_behaviour,YES,NO
claude-sonnet-4.6,Q19,theory_layout,YES,YES
claude-sonnet-4.6,Q20,theory_layout,YES,YES
claude-sonnet-4.6,Q21,spice_behaviour,YES,NO
claude-sonnet-4.6,Q22,component_datasheet,NO,NO
claude-sonnet-4.6,Q23,component_datasheet,NO,NO
claude-sonnet-4.6,Q24,spice_behaviour,YES,NO
claude-sonnet-4.6,Q25,theory_layout,YES,YES
claude-sonnet-4.6,Q26,component_datasheet,NO,NO
claude-sonnet-4.6,Q27,component_datasheet,NO,NO
claude-sonnet-4.6,Q28,spice_behaviour,YES,NO
claude-sonnet-4.6,Q29,theory_layout,YES,YES
claude-sonnet-4.6,Q30,spice_behaviour,YES,NO
claude-sonnet-4.6,Q31,theory_layout,YES,YES
claude-sonnet-4.6,Q32,component_datasheet,YES,NO
claude-sonnet-4.6,Q33,spice_behaviour,YES,NO
claude-sonnet-4.6,Q34,component_datasheet,NO,NO
claude-sonnet-4.6,Q35,spice_behaviour,YES,NO
claude-sonnet-4.6,Q36,theory_layout,NO,NO
claude-sonnet-4.6,Q37,component_datasheet,NO,NO
claude-sonnet-4.6,Q38,spice_behaviour,YES,NO
claude-sonnet-4.6,Q39,component_datasheet,YES,NO
claude-sonnet-4.6,Q40,theory_layout,NO,NO
claude-sonnet-4.6,Q41,component_datasheet,YES,NO
claude-sonnet-4.6,Q42,theory_layout,YES,YES
claude-sonnet-4.6,Q43,component_datasheet,YES,NO
claude-sonnet-4.6,Q44,spice_behaviour,NO,NO
claude-sonnet-4.6,Q45,component_datasheet,NO,NO
claude-sonnet-4.6,Q46,component_datasheet,YES,NO
claude-sonnet-4.6,Q47,component_datasheet,NO,NO
claude-sonnet-4.6,Q48,spice_behaviour,NO,NO
claude-sonnet-4.6,Q49,theory_layout,YES,YES
claude-sonnet-4.6,Q50,component_datasheet,NO,NO
claude-sonnet-4.6,Q51,spice_behaviour,NO,NO
claude-sonnet-4.6,Q52,theory_layout,NO,NO
claude-sonnet-4.6,Q53,theory_layout,YES,YES
claude-sonnet-4.6,Q54,component_datasheet,YES,YES
claude-sonnet-4.6,Q55,spice_behaviour,NO,NO
claude-sonnet-4.6,Q56,theory_layout,YES,YES
claude-sonnet-4.6,Q57,theory_layout,YES,YES
claude-sonnet-4.6,Q58,theory_layout,YES,YES
claude-sonnet-4.6,Q59,spice_behaviour,YES,NO
claude-sonnet-4.6,Q60,component_datasheet,YES,NO
Accuracy,Precision,Recall,F1 Score
0.6166666666666667,0.7386363636363636,0.7051282051282051,0.613986013986014
