Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,component_datasheet,YES,YES
gpt-5.4-nano,Q2,spice_behaviour,YES,NO
gpt-5.4-nano,Q3,theory_layout,YES,NO
gpt-5.4-nano,Q4,spice_behaviour,NO,NO
gpt-5.4-nano,Q5,spice_behaviour,YES,YES
gpt-5.4-nano,Q6,component_datasheet,YES,YES
gpt-5.4-nano,Q7,spice_behaviour,YES,YES
gpt-5.4-nano,Q8,theory_layout,YES,NO
gpt-5.4-nano,Q9,component_datasheet,NO,YES
gpt-5.4-nano,Q10,theory_layout,YES,NO
gpt-5.4-nano,Q11,spice_behaviour,YES,YES
gpt-5.4-nano,Q12,component_datasheet,NO,NO
gpt-5.4-nano,Q13,theory_layout,YES,NO
gpt-5.4-nano,Q14,theory_layout,NO,NO
gpt-5.4-nano,Q15,spice_behaviour,YES,YES
Accuracy,Precision,Recall,F1 Score
0.6,0.6160714285714286,0.6477272727272727,0.5833333333333333
