Model,Question,Category,Actual_Response,Predicted_Response
claude-sonnet-4.6,Q1,component_datasheet,YES,NO
claude-sonnet-4.6,Q2,spice_behaviour,NO,NO
claude-sonnet-4.6,Q3,theory_layout,YES,YES
claude-sonnet-4.6,Q4,component_datasheet,YES,YES
claude-sonnet-4.6,Q5,component_datasheet,YES,NO
claude-sonnet-4.6,Q6,spice_behaviour,YES,NO
claude-sonnet-4.6,Q7,component_datasheet,NO,NO
claude-sonnet-4.6,Q8,spice_behaviour,YES,YES
claude-sonnet-4.6,Q9,theory_layout,NO,NO
claude-sonnet-4.6,Q10,spice_behaviour,NO,NO
claude-sonnet-4.6,Q11,component_datasheet,YES,NO
claude-sonnet-4.6,Q12,theory_layout,NO,NO
claude-sonnet-4.6,Q13,spice_behaviour,YES,NO
claude-sonnet-4.6,Q14,component_datasheet,YES,YES
claude-sonnet-4.6,Q15,theory_layout,NO,NO
claude-sonnet-4.6,Q16,component_datasheet,NO,NO
claude-sonnet-4.6,Q17,spice_behaviour,NO,NO
claude-sonnet-4.6,Q18,component_datasheet,NO,NO
claude-sonnet-4.6,Q19,theory_layout,YES,YES
claude-sonnet-4.6,Q20,theory_layout,YES,YES
claude-sonnet-4.6,Q21,spice_behaviour,YES,NO
claude-sonnet-4.6,Q22,component_datasheet,YES,YES
claude-sonnet-4.6,Q23,component_datasheet,NO,NO
claude-sonnet-4.6,Q24,spice_behaviour,YES,YES
claude-sonnet-4.6,Q25,theory_layout,YES,YES
claude-sonnet-4.6,Q26,spice_behaviour,NO,NO
claude-sonnet-4.6,Q27,component_datasheet,YES,NO
claude-sonnet-4.6,Q28,theory_layout,NO,NO
claude-sonnet-4.6,Q29,spice_behaviour,NO,NO
claude-sonnet-4.6,Q30,theory_layout,YES,YES
claude-sonnet-4.6,Q31,component_datasheet,NO,NO
claude-sonnet-4.6,Q32,spice_behaviour,YES,YES
claude-sonnet-4.6,Q33,theory_layout,YES,YES
claude-sonnet-4.6,Q34,theory_layout,YES,YES
claude-sonnet-4.6,Q35,spice_behaviour,NO,NO
claude-sonnet-4.6,Q36,component_datasheet,YES,YES
claude-sonnet-4.6,Q37,theory_layout,YES,YES
claude-sonnet-4.6,Q38,spice_behaviour,NO,NO
claude-sonnet-4.6,Q39,component_datasheet,NO,YES
claude-sonnet-4.6,Q40,spice_behaviour,YES,YES
claude-sonnet-4.6,Q41,theory_layout,YES,YES
claude-sonnet-4.6,Q42,component_datasheet,YES,NO
claude-sonnet-4.6,Q43,spice_behaviour,NO,NO
claude-sonnet-4.6,Q44,theory_layout,YES,YES
claude-sonnet-4.6,Q45,component_datasheet,YES,NO
claude-sonnet-4.6,Q46,spice_behaviour,NO,NO
claude-sonnet-4.6,Q47,theory_layout,YES,YES
claude-sonnet-4.6,Q48,theory_layout,YES,YES
claude-sonnet-4.6,Q49,component_datasheet,YES,NO
claude-sonnet-4.6,Q50,spice_behaviour,NO,NO
claude-sonnet-4.6,Q51,theory_layout,NO,NO
claude-sonnet-4.6,Q52,component_datasheet,YES,NO
claude-sonnet-4.6,Q53,spice_behaviour,YES,NO
claude-sonnet-4.6,Q54,theory_layout,YES,YES
claude-sonnet-4.6,Q55,component_datasheet,NO,NO
claude-sonnet-4.6,Q56,spice_behaviour,NO,NO
claude-sonnet-4.6,Q57,theory_layout,NO,NO
claude-sonnet-4.6,Q58,component_datasheet,YES,NO
claude-sonnet-4.6,Q59,spice_behaviour,NO,NO
claude-sonnet-4.6,Q60,theory_layout,NO,YES
Accuracy,Precision,Recall,F1 Score
0.75,0.7808460634547592,0.7703619909502263,0.7493734335839599
