Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,component_datasheet,YES,NO
gpt-5.4-nano,Q2,spice_behaviour,NO,NO
gpt-5.4-nano,Q3,theory_layout,YES,NO
gpt-5.4-nano,Q4,component_datasheet,YES,NO
gpt-5.4-nano,Q5,component_datasheet,YES,NO
gpt-5.4-nano,Q6,spice_behaviour,YES,NO
gpt-5.4-nano,Q7,component_datasheet,NO,NO
gpt-5.4-nano,Q8,spice_behaviour,YES,NO
gpt-5.4-nano,Q9,theory_layout,NO,NO
gpt-5.4-nano,Q10,spice_behaviour,NO,NO
gpt-5.4-nano,Q11,component_datasheet,YES,NO
gpt-5.4-nano,Q12,theory_layout,NO,NO
gpt-5.4-nano,Q13,spice_behaviour,YES,NO
gpt-5.4-nano,Q14,component_datasheet,YES,YES
gpt-5.4-nano,Q15,theory_layout,NO,NO
gpt-5.4-nano,Q16,component_datasheet,NO,NO
gpt-5.4-nano,Q17,spice_behaviour,NO,NO
gpt-5.4-nano,Q18,component_datasheet,NO,NO
gpt-5.4-nano,Q19,theory_layout,YES,NO
gpt-5.4-nano,Q20,theory_layout,YES,NO
gpt-5.4-nano,Q21,spice_behaviour,YES,NO
gpt-5.4-nano,Q22,component_datasheet,YES,YES
gpt-5.4-nano,Q23,component_datasheet,NO,NO
gpt-5.4-nano,Q24,spice_behaviour,YES,NO
gpt-5.4-nano,Q25,theory_layout,YES,YES
gpt-5.4-nano,Q26,spice_behaviour,NO,NO
gpt-5.4-nano,Q27,component_datasheet,YES,NO
gpt-5.4-nano,Q28,theory_layout,NO,NO
gpt-5.4-nano,Q29,spice_behaviour,NO,NO
gpt-5.4-nano,Q30,theory_layout,YES,NO
gpt-5.4-nano,Q31,component_datasheet,NO,NO
gpt-5.4-nano,Q32,spice_behaviour,YES,YES
gpt-5.4-nano,Q33,theory_layout,YES,YES
gpt-5.4-nano,Q34,theory_layout,YES,NO
gpt-5.4-nano,Q35,spice_behaviour,NO,NO
gpt-5.4-nano,Q36,component_datasheet,YES,NO
gpt-5.4-nano,Q37,theory_layout,YES,NO
gpt-5.4-nano,Q38,spice_behaviour,NO,NO
gpt-5.4-nano,Q39,component_datasheet,NO,NO
gpt-5.4-nano,Q40,spice_behaviour,YES,YES
gpt-5.4-nano,Q41,theory_layout,YES,YES
gpt-5.4-nano,Q42,component_datasheet,YES,NO
gpt-5.4-nano,Q43,spice_behaviour,NO,NO
gpt-5.4-nano,Q44,theory_layout,YES,NO
gpt-5.4-nano,Q45,component_datasheet,YES,NO
gpt-5.4-nano,Q46,spice_behaviour,NO,NO
gpt-5.4-nano,Q47,theory_layout,YES,YES
gpt-5.4-nano,Q48,theory_layout,YES,NO
gpt-5.4-nano,Q49,component_datasheet,YES,NO
gpt-5.4-nano,Q50,spice_behaviour,NO,NO
gpt-5.4-nano,Q51,theory_layout,NO,NO
gpt-5.4-nano,Q52,component_datasheet,YES,NO
gpt-5.4-nano,Q53,spice_behaviour,YES,NO
gpt-5.4-nano,Q54,theory_layout,YES,NO
gpt-5.4-nano,Q55,component_datasheet,NO,NO
gpt-5.4-nano,Q56,spice_behaviour,NO,NO
gpt-5.4-nano,Q57,theory_layout,NO,NO
gpt-5.4-nano,Q58,component_datasheet,YES,NO
gpt-5.4-nano,Q59,spice_behaviour,NO,NO
gpt-5.4-nano,Q60,theory_layout,NO,NO
Accuracy,Precision,Recall,F1 Score
0.5666666666666667,0.75,0.6176470588235294,0.5238095238095237
