Model,Question,Category,Actual_Response,Predicted_Response
gemini-3-flash-preview,Q1,component_datasheet,YES,NO
gemini-3-flash-preview,Q2,spice_behaviour,NO,NO
gemini-3-flash-preview,Q3,theory_layout,YES,YES
gemini-3-flash-preview,Q4,component_datasheet,YES,YES
gemini-3-flash-preview,Q5,component_datasheet,YES,YES
gemini-3-flash-preview,Q6,spice_behaviour,YES,YES
gemini-3-flash-preview,Q7,component_datasheet,NO,NO
gemini-3-flash-preview,Q8,spice_behaviour,YES,YES
gemini-3-flash-preview,Q9,theory_layout,NO,NO
gemini-3-flash-preview,Q10,spice_behaviour,NO,NO
gemini-3-flash-preview,Q11,component_datasheet,YES,YES
gemini-3-flash-preview,Q12,theory_layout,NO,NO
gemini-3-flash-preview,Q13,spice_behaviour,YES,YES
gemini-3-flash-preview,Q14,component_datasheet,YES,YES
gemini-3-flash-preview,Q15,theory_layout,NO,NO
Accuracy,Precision,Recall,F1 Score
0.9333333333333333,0.9285714285714286,0.9444444444444444,0.9321266968325792
