Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,component_datasheet,YES,NO
gpt-5.4-nano,Q2,theory_layout,YES,YES
gpt-5.4-nano,Q3,spice_behaviour,YES,NO
gpt-5.4-nano,Q4,theory_layout,YES,YES
gpt-5.4-nano,Q5,component_datasheet,YES,NO
gpt-5.4-nano,Q6,spice_behaviour,YES,NO
gpt-5.4-nano,Q7,spice_behaviour,YES,NO
gpt-5.4-nano,Q8,theory_layout,NO,NO
gpt-5.4-nano,Q9,theory_layout,YES,NO
gpt-5.4-nano,Q10,component_datasheet,YES,NO
gpt-5.4-nano,Q11,spice_behaviour,YES,NO
gpt-5.4-nano,Q12,theory_layout,YES,YES
gpt-5.4-nano,Q13,component_datasheet,YES,NO
gpt-5.4-nano,Q14,component_datasheet,NO,NO
gpt-5.4-nano,Q15,spice_behaviour,YES,NO
gpt-5.4-nano,Q16,component_datasheet,YES,NO
gpt-5.4-nano,Q17,theory_layout,YES,YES
gpt-5.4-nano,Q18,spice_behaviour,YES,NO
gpt-5.4-nano,Q19,theory_layout,YES,YES
gpt-5.4-nano,Q20,spice_behaviour,NO,NO
gpt-5.4-nano,Q21,theory_layout,YES,YES
gpt-5.4-nano,Q22,spice_behaviour,YES,NO
gpt-5.4-nano,Q23,component_datasheet,YES,NO
gpt-5.4-nano,Q24,component_datasheet,YES,NO
gpt-5.4-nano,Q25,spice_behaviour,YES,NO
gpt-5.4-nano,Q26,theory_layout,YES,NO
gpt-5.4-nano,Q27,component_datasheet,YES,NO
gpt-5.4-nano,Q28,theory_layout,YES,YES
gpt-5.4-nano,Q29,spice_behaviour,NO,NO
gpt-5.4-nano,Q30,component_datasheet,NO,NO
gpt-5.4-nano,Q31,spice_behaviour,YES,YES
gpt-5.4-nano,Q32,theory_layout,YES,NO
gpt-5.4-nano,Q33,spice_behaviour,NO,NO
gpt-5.4-nano,Q34,component_datasheet,YES,NO
gpt-5.4-nano,Q35,component_datasheet,YES,NO
gpt-5.4-nano,Q36,component_datasheet,NO,NO
gpt-5.4-nano,Q37,theory_layout,YES,YES
gpt-5.4-nano,Q38,component_datasheet,YES,YES
gpt-5.4-nano,Q39,spice_behaviour,NO,NO
gpt-5.4-nano,Q40,component_datasheet,NO,NO
gpt-5.4-nano,Q41,component_datasheet,YES,NO
gpt-5.4-nano,Q42,theory_layout,NO,NO
gpt-5.4-nano,Q43,spice_behaviour,NO,NO
gpt-5.4-nano,Q44,theory_layout,YES,NO
gpt-5.4-nano,Q45,component_datasheet,YES,NO
gpt-5.4-nano,Q46,theory_layout,YES,YES
gpt-5.4-nano,Q47,spice_behaviour,YES,NO
gpt-5.4-nano,Q48,component_datasheet,YES,YES
gpt-5.4-nano,Q49,spice_behaviour,NO,NO
gpt-5.4-nano,Q50,theory_layout,YES,NO
gpt-5.4-nano,Q51,spice_behaviour,YES,NO
gpt-5.4-nano,Q52,theory_layout,YES,YES
gpt-5.4-nano,Q53,component_datasheet,YES,NO
gpt-5.4-nano,Q54,spice_behaviour,YES,NO
gpt-5.4-nano,Q55,theory_layout,YES,NO
gpt-5.4-nano,Q56,theory_layout,YES,NO
gpt-5.4-nano,Q57,spice_behaviour,NO,NO
gpt-5.4-nano,Q58,theory_layout,YES,YES
gpt-5.4-nano,Q59,component_datasheet,YES,NO
gpt-5.4-nano,Q60,spice_behaviour,NO,NO
Accuracy,Precision,Recall,F1 Score
0.4666666666666667,0.6521739130434783,0.6521739130434783,0.4666666666666667
