Model,Question,Category,Actual_Response,Predicted_Response
claude-sonnet-4.6,Q1,component_datasheet,YES,YES
claude-sonnet-4.6,Q2,theory_layout,YES,YES
claude-sonnet-4.6,Q3,spice_behaviour,YES,NO
claude-sonnet-4.6,Q4,theory_layout,YES,YES
claude-sonnet-4.6,Q5,component_datasheet,YES,YES
claude-sonnet-4.6,Q6,spice_behaviour,YES,NO
claude-sonnet-4.6,Q7,spice_behaviour,YES,NO
claude-sonnet-4.6,Q8,theory_layout,NO,NO
claude-sonnet-4.6,Q9,theory_layout,YES,YES
claude-sonnet-4.6,Q10,component_datasheet,YES,YES
claude-sonnet-4.6,Q11,spice_behaviour,YES,NO
claude-sonnet-4.6,Q12,theory_layout,YES,NO
claude-sonnet-4.6,Q13,component_datasheet,YES,YES
claude-sonnet-4.6,Q14,component_datasheet,NO,NO
claude-sonnet-4.6,Q15,spice_behaviour,YES,YES
Accuracy,Precision,Recall,F1 Score
0.6666666666666666,0.6428571428571428,0.8076923076923077,0.6031746031746031
