Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q2,theory_layout,YES,NO
llama-3.3-70b-instruct,Q3,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q4,theory_layout,YES,NO
llama-3.3-70b-instruct,Q5,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q6,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q7,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q8,theory_layout,NO,NO
llama-3.3-70b-instruct,Q9,theory_layout,YES,NO
llama-3.3-70b-instruct,Q10,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q11,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q12,theory_layout,YES,NO
llama-3.3-70b-instruct,Q13,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q14,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q15,spice_behaviour,YES,NO
Accuracy,Precision,Recall,F1 Score
0.4,0.5909090909090909,0.6538461538461539,0.3891402714932127
