Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,spice_behaviour,NO,NO
gpt-5.4-nano,Q2,theory_layout,YES,NO
gpt-5.4-nano,Q3,component_datasheet,YES,NO
gpt-5.4-nano,Q4,theory_layout,YES,NO
gpt-5.4-nano,Q5,spice_behaviour,YES,NO
gpt-5.4-nano,Q6,theory_layout,YES,NO
gpt-5.4-nano,Q7,theory_layout,NO,NO
gpt-5.4-nano,Q8,spice_behaviour,NO,NO
gpt-5.4-nano,Q9,component_datasheet,YES,YES
gpt-5.4-nano,Q10,theory_layout,YES,YES
gpt-5.4-nano,Q11,spice_behaviour,YES,NO
gpt-5.4-nano,Q12,theory_layout,YES,NO
gpt-5.4-nano,Q13,component_datasheet,YES,NO
gpt-5.4-nano,Q14,theory_layout,NO,NO
gpt-5.4-nano,Q15,spice_behaviour,NO,NO
Accuracy,Precision,Recall,F1 Score
0.4666666666666667,0.6923076923076923,0.6,0.4444444444444444
