Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q2,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q3,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q4,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q5,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q6,theory_layout,YES,NO
llama-3.3-70b-instruct,Q7,theory_layout,YES,YES
llama-3.3-70b-instruct,Q8,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q9,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q10,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q11,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q12,theory_layout,YES,NO
llama-3.3-70b-instruct,Q13,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q14,theory_layout,YES,YES
llama-3.3-70b-instruct,Q15,theory_layout,YES,YES
Accuracy,Precision,Recall,F1 Score
0.6666666666666666,0.6875,0.7916666666666667,0.6411483253588517
