Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,component_datasheet,YES,NO
gpt-5.4-nano,Q2,spice_behaviour,YES,YES
gpt-5.4-nano,Q3,component_datasheet,YES,YES
gpt-5.4-nano,Q4,component_datasheet,YES,YES
gpt-5.4-nano,Q5,spice_behaviour,YES,YES
gpt-5.4-nano,Q6,theory_layout,YES,YES
gpt-5.4-nano,Q7,theory_layout,YES,YES
gpt-5.4-nano,Q8,component_datasheet,NO,NO
gpt-5.4-nano,Q9,component_datasheet,NO,NO
gpt-5.4-nano,Q10,component_datasheet,YES,NO
gpt-5.4-nano,Q11,component_datasheet,YES,NO
gpt-5.4-nano,Q12,theory_layout,YES,YES
gpt-5.4-nano,Q13,component_datasheet,NO,NO
gpt-5.4-nano,Q14,theory_layout,YES,YES
gpt-5.4-nano,Q15,theory_layout,YES,YES
gpt-5.4-nano,Q16,component_datasheet,YES,NO
gpt-5.4-nano,Q17,spice_behaviour,NO,NO
gpt-5.4-nano,Q18,theory_layout,YES,YES
gpt-5.4-nano,Q19,component_datasheet,YES,NO
gpt-5.4-nano,Q20,theory_layout,YES,YES
gpt-5.4-nano,Q21,theory_layout,YES,YES
gpt-5.4-nano,Q22,component_datasheet,YES,NO
gpt-5.4-nano,Q23,spice_behaviour,NO,NO
gpt-5.4-nano,Q24,theory_layout,YES,YES
gpt-5.4-nano,Q25,theory_layout,YES,YES
gpt-5.4-nano,Q26,spice_behaviour,NO,NO
gpt-5.4-nano,Q27,theory_layout,YES,YES
gpt-5.4-nano,Q28,component_datasheet,YES,YES
gpt-5.4-nano,Q29,spice_behaviour,YES,YES
gpt-5.4-nano,Q30,spice_behaviour,NO,NO
gpt-5.4-nano,Q31,theory_layout,YES,YES
gpt-5.4-nano,Q32,theory_layout,YES,YES
gpt-5.4-nano,Q33,spice_behaviour,NO,NO
gpt-5.4-nano,Q34,component_datasheet,YES,NO
gpt-5.4-nano,Q35,theory_layout,YES,YES
gpt-5.4-nano,Q36,spice_behaviour,NO,NO
gpt-5.4-nano,Q37,component_datasheet,YES,NO
gpt-5.4-nano,Q38,spice_behaviour,NO,NO
gpt-5.4-nano,Q39,theory_layout,YES,YES
gpt-5.4-nano,Q40,spice_behaviour,YES,YES
gpt-5.4-nano,Q41,theory_layout,YES,YES
gpt-5.4-nano,Q42,component_datasheet,NO,NO
gpt-5.4-nano,Q43,spice_behaviour,YES,YES
gpt-5.4-nano,Q44,theory_layout,NO,NO
gpt-5.4-nano,Q45,component_datasheet,YES,NO
gpt-5.4-nano,Q46,spice_behaviour,NO,NO
gpt-5.4-nano,Q47,theory_layout,YES,YES
gpt-5.4-nano,Q48,spice_behaviour,YES,YES
gpt-5.4-nano,Q49,component_datasheet,YES,YES
gpt-5.4-nano,Q50,spice_behaviour,NO,NO
gpt-5.4-nano,Q51,component_datasheet,YES,NO
gpt-5.4-nano,Q52,spice_behaviour,NO,NO
gpt-5.4-nano,Q53,theory_layout,YES,YES
gpt-5.4-nano,Q54,spice_behaviour,YES,YES
gpt-5.4-nano,Q55,component_datasheet,NO,NO
gpt-5.4-nano,Q56,spice_behaviour,YES,YES
gpt-5.4-nano,Q57,theory_layout,NO,NO
gpt-5.4-nano,Q58,spice_behaviour,NO,NO
gpt-5.4-nano,Q59,component_datasheet,YES,YES
gpt-5.4-nano,Q60,spice_behaviour,YES,YES
Accuracy,Precision,Recall,F1 Score
0.8333333333333334,0.8214285714285714,0.8809523809523809,0.8237367802585194
