Model,Question,Category,Actual_Response,Predicted_Response
claude-sonnet-4.6,Q1,component_datasheet,YES,YES
claude-sonnet-4.6,Q2,spice_behaviour,YES,YES
claude-sonnet-4.6,Q3,theory_layout,YES,NO
claude-sonnet-4.6,Q4,component_datasheet,NO,NO
claude-sonnet-4.6,Q5,spice_behaviour,YES,YES
claude-sonnet-4.6,Q6,component_datasheet,YES,YES
claude-sonnet-4.6,Q7,theory_layout,YES,YES
claude-sonnet-4.6,Q8,spice_behaviour,YES,NO
claude-sonnet-4.6,Q9,component_datasheet,YES,NO
claude-sonnet-4.6,Q10,spice_behaviour,YES,YES
claude-sonnet-4.6,Q11,theory_layout,YES,YES
claude-sonnet-4.6,Q12,spice_behaviour,YES,NO
claude-sonnet-4.6,Q13,component_datasheet,YES,YES
claude-sonnet-4.6,Q14,component_datasheet,YES,YES
claude-sonnet-4.6,Q15,spice_behaviour,NO,NO
Accuracy,Precision,Recall,F1 Score
0.7333333333333333,0.6666666666666666,0.8461538461538461,0.6590909090909092
