Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q2,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q3,theory_layout,YES,YES
llama-3.3-70b-instruct,Q4,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q5,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q6,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q7,theory_layout,YES,YES
llama-3.3-70b-instruct,Q8,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q9,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q10,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q11,theory_layout,YES,YES
llama-3.3-70b-instruct,Q12,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q13,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q14,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q15,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q16,theory_layout,YES,YES
llama-3.3-70b-instruct,Q17,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q18,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q19,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q20,theory_layout,YES,YES
llama-3.3-70b-instruct,Q21,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q22,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q23,theory_layout,YES,YES
llama-3.3-70b-instruct,Q24,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q25,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q26,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q27,theory_layout,YES,YES
llama-3.3-70b-instruct,Q28,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q29,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q30,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q31,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q32,theory_layout,YES,YES
llama-3.3-70b-instruct,Q33,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q34,component_datasheet,NO,YES
llama-3.3-70b-instruct,Q35,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q36,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q37,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q38,theory_layout,NO,NO
llama-3.3-70b-instruct,Q39,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q40,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q41,theory_layout,YES,YES
llama-3.3-70b-instruct,Q42,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q43,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q44,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q45,theory_layout,NO,NO
llama-3.3-70b-instruct,Q46,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q47,theory_layout,YES,YES
llama-3.3-70b-instruct,Q48,theory_layout,YES,YES
llama-3.3-70b-instruct,Q49,theory_layout,YES,YES
llama-3.3-70b-instruct,Q50,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q51,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q52,theory_layout,YES,YES
llama-3.3-70b-instruct,Q53,theory_layout,YES,YES
llama-3.3-70b-instruct,Q54,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q55,theory_layout,NO,NO
llama-3.3-70b-instruct,Q56,theory_layout,YES,YES
llama-3.3-70b-instruct,Q57,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q58,theory_layout,NO,NO
llama-3.3-70b-instruct,Q59,theory_layout,YES,YES
llama-3.3-70b-instruct,Q60,spice_behaviour,YES,YES
Accuracy,Precision,Recall,F1 Score
0.85,0.8415178571428572,0.8736263736263736,0.8447829836159816
