Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,spice_behaviour,NO,NO
gpt-5.4-nano,Q2,theory_layout,YES,YES
gpt-5.4-nano,Q3,spice_behaviour,YES,NO
gpt-5.4-nano,Q4,component_datasheet,NO,NO
gpt-5.4-nano,Q5,theory_layout,YES,NO
gpt-5.4-nano,Q6,spice_behaviour,YES,NO
gpt-5.4-nano,Q7,component_datasheet,NO,NO
gpt-5.4-nano,Q8,spice_behaviour,NO,NO
gpt-5.4-nano,Q9,component_datasheet,NO,NO
gpt-5.4-nano,Q10,spice_behaviour,NO,NO
gpt-5.4-nano,Q11,theory_layout,NO,NO
gpt-5.4-nano,Q12,component_datasheet,YES,YES
gpt-5.4-nano,Q13,spice_behaviour,YES,NO
gpt-5.4-nano,Q14,theory_layout,YES,YES
gpt-5.4-nano,Q15,component_datasheet,NO,NO
Accuracy,Precision,Recall,F1 Score
0.7333333333333333,0.8333333333333333,0.7142857142857143,0.7
