Model,Question,Category,Actual_Response,Predicted_Response
claude-sonnet-4.6,Q1,component_datasheet,YES,NO
claude-sonnet-4.6,Q2,theory_layout,NO,NO
claude-sonnet-4.6,Q3,component_datasheet,NO,NO
claude-sonnet-4.6,Q4,spice_behaviour,NO,NO
claude-sonnet-4.6,Q5,component_datasheet,NO,NO
claude-sonnet-4.6,Q6,spice_behaviour,NO,NO
claude-sonnet-4.6,Q7,component_datasheet,NO,YES
claude-sonnet-4.6,Q8,theory_layout,YES,YES
claude-sonnet-4.6,Q9,component_datasheet,NO,NO
claude-sonnet-4.6,Q10,spice_behaviour,NO,NO
claude-sonnet-4.6,Q11,theory_layout,YES,YES
claude-sonnet-4.6,Q12,component_datasheet,YES,NO
claude-sonnet-4.6,Q13,spice_behaviour,YES,YES
claude-sonnet-4.6,Q14,theory_layout,YES,YES
claude-sonnet-4.6,Q15,spice_behaviour,YES,YES
claude-sonnet-4.6,Q16,component_datasheet,NO,NO
claude-sonnet-4.6,Q17,theory_layout,YES,YES
claude-sonnet-4.6,Q18,component_datasheet,NO,NO
claude-sonnet-4.6,Q19,spice_behaviour,NO,NO
claude-sonnet-4.6,Q20,theory_layout,NO,NO
claude-sonnet-4.6,Q21,spice_behaviour,YES,YES
claude-sonnet-4.6,Q22,component_datasheet,YES,YES
claude-sonnet-4.6,Q23,theory_layout,YES,YES
claude-sonnet-4.6,Q24,component_datasheet,YES,NO
claude-sonnet-4.6,Q25,component_datasheet,YES,NO
claude-sonnet-4.6,Q26,spice_behaviour,NO,NO
claude-sonnet-4.6,Q27,spice_behaviour,NO,NO
claude-sonnet-4.6,Q28,theory_layout,YES,YES
claude-sonnet-4.6,Q29,theory_layout,YES,YES
claude-sonnet-4.6,Q30,component_datasheet,YES,YES
claude-sonnet-4.6,Q31,component_datasheet,YES,NO
claude-sonnet-4.6,Q32,spice_behaviour,YES,NO
claude-sonnet-4.6,Q33,theory_layout,YES,YES
claude-sonnet-4.6,Q34,theory_layout,YES,YES
claude-sonnet-4.6,Q35,spice_behaviour,NO,NO
claude-sonnet-4.6,Q36,theory_layout,YES,YES
claude-sonnet-4.6,Q37,component_datasheet,NO,YES
claude-sonnet-4.6,Q38,spice_behaviour,NO,NO
claude-sonnet-4.6,Q39,theory_layout,YES,YES
claude-sonnet-4.6,Q40,spice_behaviour,YES,NO
claude-sonnet-4.6,Q41,theory_layout,YES,YES
claude-sonnet-4.6,Q42,component_datasheet,YES,YES
claude-sonnet-4.6,Q43,spice_behaviour,NO,YES
claude-sonnet-4.6,Q44,component_datasheet,YES,NO
claude-sonnet-4.6,Q45,spice_behaviour,NO,YES
claude-sonnet-4.6,Q46,theory_layout,YES,YES
claude-sonnet-4.6,Q47,spice_behaviour,NO,NO
claude-sonnet-4.6,Q48,spice_behaviour,NO,NO
claude-sonnet-4.6,Q49,theory_layout,YES,YES
claude-sonnet-4.6,Q50,spice_behaviour,NO,NO
claude-sonnet-4.6,Q51,component_datasheet,YES,YES
claude-sonnet-4.6,Q52,spice_behaviour,YES,NO
claude-sonnet-4.6,Q53,theory_layout,YES,YES
claude-sonnet-4.6,Q54,theory_layout,YES,YES
claude-sonnet-4.6,Q55,component_datasheet,YES,YES
claude-sonnet-4.6,Q56,component_datasheet,YES,YES
claude-sonnet-4.6,Q57,theory_layout,YES,YES
claude-sonnet-4.6,Q58,theory_layout,YES,YES
claude-sonnet-4.6,Q59,spice_behaviour,YES,NO
claude-sonnet-4.6,Q60,component_datasheet,NO,NO
Accuracy,Precision,Recall,F1 Score
0.7666666666666667,0.7630700778642936,0.7779083431257344,0.7624434389140271
