Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,component_datasheet,YES,NO
gpt-5.4-nano,Q2,theory_layout,NO,NO
gpt-5.4-nano,Q3,component_datasheet,NO,NO
gpt-5.4-nano,Q4,spice_behaviour,NO,NO
gpt-5.4-nano,Q5,component_datasheet,NO,NO
gpt-5.4-nano,Q6,spice_behaviour,NO,NO
gpt-5.4-nano,Q7,component_datasheet,NO,NO
gpt-5.4-nano,Q8,theory_layout,YES,NO
gpt-5.4-nano,Q9,component_datasheet,NO,NO
gpt-5.4-nano,Q10,spice_behaviour,NO,NO
gpt-5.4-nano,Q11,theory_layout,YES,NO
gpt-5.4-nano,Q12,component_datasheet,YES,YES
gpt-5.4-nano,Q13,spice_behaviour,YES,YES
gpt-5.4-nano,Q14,theory_layout,YES,NO
gpt-5.4-nano,Q15,spice_behaviour,YES,YES
gpt-5.4-nano,Q16,component_datasheet,NO,NO
gpt-5.4-nano,Q17,theory_layout,YES,NO
gpt-5.4-nano,Q18,component_datasheet,NO,NO
gpt-5.4-nano,Q19,spice_behaviour,NO,NO
gpt-5.4-nano,Q20,theory_layout,NO,NO
gpt-5.4-nano,Q21,spice_behaviour,YES,YES
gpt-5.4-nano,Q22,component_datasheet,YES,NO
gpt-5.4-nano,Q23,theory_layout,YES,NO
gpt-5.4-nano,Q24,component_datasheet,YES,NO
gpt-5.4-nano,Q25,component_datasheet,YES,YES
gpt-5.4-nano,Q26,spice_behaviour,NO,NO
gpt-5.4-nano,Q27,spice_behaviour,NO,YES
gpt-5.4-nano,Q28,theory_layout,YES,NO
gpt-5.4-nano,Q29,theory_layout,YES,NO
gpt-5.4-nano,Q30,component_datasheet,YES,YES
gpt-5.4-nano,Q31,component_datasheet,YES,NO
gpt-5.4-nano,Q32,spice_behaviour,YES,YES
gpt-5.4-nano,Q33,theory_layout,YES,NO
gpt-5.4-nano,Q34,theory_layout,YES,NO
gpt-5.4-nano,Q35,spice_behaviour,NO,NO
gpt-5.4-nano,Q36,theory_layout,YES,NO
gpt-5.4-nano,Q37,component_datasheet,NO,NO
gpt-5.4-nano,Q38,spice_behaviour,NO,NO
gpt-5.4-nano,Q39,theory_layout,YES,NO
gpt-5.4-nano,Q40,spice_behaviour,YES,YES
gpt-5.4-nano,Q41,theory_layout,YES,NO
gpt-5.4-nano,Q42,component_datasheet,YES,YES
gpt-5.4-nano,Q43,spice_behaviour,NO,YES
gpt-5.4-nano,Q44,component_datasheet,YES,YES
gpt-5.4-nano,Q45,spice_behaviour,NO,NO
gpt-5.4-nano,Q46,theory_layout,YES,NO
gpt-5.4-nano,Q47,spice_behaviour,NO,NO
gpt-5.4-nano,Q48,spice_behaviour,NO,YES
gpt-5.4-nano,Q49,theory_layout,YES,NO
gpt-5.4-nano,Q50,spice_behaviour,NO,NO
gpt-5.4-nano,Q51,component_datasheet,YES,YES
gpt-5.4-nano,Q52,spice_behaviour,YES,YES
gpt-5.4-nano,Q53,theory_layout,YES,NO
gpt-5.4-nano,Q54,theory_layout,YES,NO
gpt-5.4-nano,Q55,component_datasheet,YES,NO
gpt-5.4-nano,Q56,component_datasheet,YES,NO
gpt-5.4-nano,Q57,theory_layout,YES,NO
gpt-5.4-nano,Q58,theory_layout,YES,NO
gpt-5.4-nano,Q59,spice_behaviour,YES,YES
gpt-5.4-nano,Q60,component_datasheet,NO,NO
Accuracy,Precision,Recall,F1 Score
0.55,0.6335227272727273,0.6104582843713279,0.5437904815544916
