Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q2,theory_layout,NO,NO
llama-3.3-70b-instruct,Q3,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q4,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q5,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q6,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q7,component_datasheet,NO,YES
llama-3.3-70b-instruct,Q8,theory_layout,YES,YES
llama-3.3-70b-instruct,Q9,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q10,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q11,theory_layout,YES,NO
llama-3.3-70b-instruct,Q12,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q13,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q14,theory_layout,YES,NO
llama-3.3-70b-instruct,Q15,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q16,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q17,theory_layout,YES,NO
llama-3.3-70b-instruct,Q18,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q19,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q20,theory_layout,NO,NO
llama-3.3-70b-instruct,Q21,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q22,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q23,theory_layout,YES,NO
llama-3.3-70b-instruct,Q24,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q25,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q26,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q27,spice_behaviour,NO,YES
llama-3.3-70b-instruct,Q28,theory_layout,YES,NO
llama-3.3-70b-instruct,Q29,theory_layout,YES,NO
llama-3.3-70b-instruct,Q30,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q31,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q32,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q33,theory_layout,YES,NO
llama-3.3-70b-instruct,Q34,theory_layout,YES,NO
llama-3.3-70b-instruct,Q35,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q36,theory_layout,YES,NO
llama-3.3-70b-instruct,Q37,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q38,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q39,theory_layout,YES,NO
llama-3.3-70b-instruct,Q40,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q41,theory_layout,YES,NO
llama-3.3-70b-instruct,Q42,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q43,spice_behaviour,NO,YES
llama-3.3-70b-instruct,Q44,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q45,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q46,theory_layout,YES,NO
llama-3.3-70b-instruct,Q47,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q48,spice_behaviour,NO,YES
llama-3.3-70b-instruct,Q49,theory_layout,YES,NO
llama-3.3-70b-instruct,Q50,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q51,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q52,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q53,theory_layout,YES,NO
llama-3.3-70b-instruct,Q54,theory_layout,YES,NO
llama-3.3-70b-instruct,Q55,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q56,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q57,theory_layout,YES,NO
llama-3.3-70b-instruct,Q58,theory_layout,YES,NO
llama-3.3-70b-instruct,Q59,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q60,component_datasheet,NO,NO
Accuracy,Precision,Recall,F1 Score
0.6166666666666667,0.6590909090909092,0.6562867215041128,0.6165601555987774
