Model,Question,Category,Actual_Response,Predicted_Response
gemini-3-flash-preview,Q1,component_datasheet,YES,NO
gemini-3-flash-preview,Q2,theory_layout,NO,NO
gemini-3-flash-preview,Q3,component_datasheet,NO,NO
gemini-3-flash-preview,Q4,spice_behaviour,NO,NO
gemini-3-flash-preview,Q5,component_datasheet,NO,NO
gemini-3-flash-preview,Q6,spice_behaviour,NO,NO
gemini-3-flash-preview,Q7,component_datasheet,NO,NO
gemini-3-flash-preview,Q8,theory_layout,YES,YES
gemini-3-flash-preview,Q9,component_datasheet,NO,NO
gemini-3-flash-preview,Q10,spice_behaviour,NO,NO
gemini-3-flash-preview,Q11,theory_layout,YES,YES
gemini-3-flash-preview,Q12,component_datasheet,YES,YES
gemini-3-flash-preview,Q13,spice_behaviour,YES,NO
gemini-3-flash-preview,Q14,theory_layout,YES,YES
gemini-3-flash-preview,Q15,spice_behaviour,YES,NO
gemini-3-flash-preview,Q16,component_datasheet,NO,NO
gemini-3-flash-preview,Q17,theory_layout,YES,YES
gemini-3-flash-preview,Q18,component_datasheet,NO,NO
gemini-3-flash-preview,Q19,spice_behaviour,NO,NO
gemini-3-flash-preview,Q20,theory_layout,NO,NO
gemini-3-flash-preview,Q21,spice_behaviour,YES,NO
gemini-3-flash-preview,Q22,component_datasheet,YES,YES
gemini-3-flash-preview,Q23,theory_layout,YES,YES
gemini-3-flash-preview,Q24,component_datasheet,YES,YES
gemini-3-flash-preview,Q25,component_datasheet,YES,YES
gemini-3-flash-preview,Q26,spice_behaviour,NO,NO
gemini-3-flash-preview,Q27,spice_behaviour,NO,NO
gemini-3-flash-preview,Q28,theory_layout,YES,NO
gemini-3-flash-preview,Q29,theory_layout,YES,YES
gemini-3-flash-preview,Q30,component_datasheet,YES,YES
gemini-3-flash-preview,Q31,component_datasheet,YES,NO
gemini-3-flash-preview,Q32,spice_behaviour,YES,NO
gemini-3-flash-preview,Q33,theory_layout,YES,YES
gemini-3-flash-preview,Q34,theory_layout,YES,YES
gemini-3-flash-preview,Q35,spice_behaviour,NO,NO
gemini-3-flash-preview,Q36,theory_layout,YES,YES
gemini-3-flash-preview,Q37,component_datasheet,NO,NO
gemini-3-flash-preview,Q38,spice_behaviour,NO,NO
gemini-3-flash-preview,Q39,theory_layout,YES,YES
gemini-3-flash-preview,Q40,spice_behaviour,YES,NO
gemini-3-flash-preview,Q41,theory_layout,YES,YES
gemini-3-flash-preview,Q42,component_datasheet,YES,YES
gemini-3-flash-preview,Q43,spice_behaviour,NO,NO
gemini-3-flash-preview,Q44,component_datasheet,YES,NO
gemini-3-flash-preview,Q45,spice_behaviour,NO,NO
gemini-3-flash-preview,Q46,theory_layout,YES,YES
gemini-3-flash-preview,Q47,spice_behaviour,NO,NO
gemini-3-flash-preview,Q48,spice_behaviour,NO,NO
gemini-3-flash-preview,Q49,theory_layout,YES,NO
gemini-3-flash-preview,Q50,spice_behaviour,NO,NO
gemini-3-flash-preview,Q51,component_datasheet,YES,YES
gemini-3-flash-preview,Q52,spice_behaviour,YES,NO
gemini-3-flash-preview,Q53,theory_layout,YES,YES
gemini-3-flash-preview,Q54,theory_layout,YES,YES
gemini-3-flash-preview,Q55,component_datasheet,YES,YES
gemini-3-flash-preview,Q56,component_datasheet,YES,YES
gemini-3-flash-preview,Q57,theory_layout,YES,YES
gemini-3-flash-preview,Q58,theory_layout,YES,YES
gemini-3-flash-preview,Q59,spice_behaviour,YES,NO
gemini-3-flash-preview,Q60,component_datasheet,NO,NO
Accuracy,Precision,Recall,F1 Score
0.8,0.8285714285714285,0.8378378378378378,0.7997775305895439
