Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,component_datasheet,YES,NO
gpt-5.4-nano,Q2,theory_layout,NO,NO
gpt-5.4-nano,Q3,component_datasheet,NO,NO
gpt-5.4-nano,Q4,spice_behaviour,NO,NO
gpt-5.4-nano,Q5,component_datasheet,NO,NO
gpt-5.4-nano,Q6,spice_behaviour,NO,NO
gpt-5.4-nano,Q7,component_datasheet,NO,NO
gpt-5.4-nano,Q8,theory_layout,YES,YES
gpt-5.4-nano,Q9,component_datasheet,NO,NO
gpt-5.4-nano,Q10,spice_behaviour,NO,NO
gpt-5.4-nano,Q11,theory_layout,YES,YES
gpt-5.4-nano,Q12,component_datasheet,YES,YES
gpt-5.4-nano,Q13,spice_behaviour,YES,NO
gpt-5.4-nano,Q14,theory_layout,YES,YES
gpt-5.4-nano,Q15,spice_behaviour,YES,NO
Accuracy,Precision,Recall,F1 Score
0.8,0.8636363636363636,0.7857142857142857,0.784688995215311
