Model,Question,Category,Actual_Response,Predicted_Response
gemini-3-flash-preview,Q1,component_datasheet,YES,YES
gemini-3-flash-preview,Q2,theory_layout,YES,YES
gemini-3-flash-preview,Q3,spice_behaviour,YES,YES
gemini-3-flash-preview,Q4,theory_layout,YES,YES
gemini-3-flash-preview,Q5,component_datasheet,YES,YES
gemini-3-flash-preview,Q6,spice_behaviour,YES,YES
gemini-3-flash-preview,Q7,spice_behaviour,YES,YES
gemini-3-flash-preview,Q8,theory_layout,NO,NO
gemini-3-flash-preview,Q9,theory_layout,YES,YES
gemini-3-flash-preview,Q10,component_datasheet,YES,YES
gemini-3-flash-preview,Q11,spice_behaviour,YES,NO
gemini-3-flash-preview,Q12,theory_layout,YES,YES
gemini-3-flash-preview,Q13,component_datasheet,YES,NO
gemini-3-flash-preview,Q14,component_datasheet,NO,NO
gemini-3-flash-preview,Q15,spice_behaviour,YES,NO
gemini-3-flash-preview,Q16,component_datasheet,YES,YES
gemini-3-flash-preview,Q17,theory_layout,YES,YES
gemini-3-flash-preview,Q18,spice_behaviour,YES,YES
gemini-3-flash-preview,Q19,theory_layout,YES,YES
gemini-3-flash-preview,Q20,spice_behaviour,NO,NO
gemini-3-flash-preview,Q21,theory_layout,YES,YES
gemini-3-flash-preview,Q22,spice_behaviour,YES,YES
gemini-3-flash-preview,Q23,component_datasheet,YES,NO
gemini-3-flash-preview,Q24,component_datasheet,YES,YES
gemini-3-flash-preview,Q25,spice_behaviour,YES,NO
gemini-3-flash-preview,Q26,theory_layout,YES,YES
gemini-3-flash-preview,Q27,component_datasheet,YES,YES
gemini-3-flash-preview,Q28,theory_layout,YES,YES
gemini-3-flash-preview,Q29,spice_behaviour,NO,NO
gemini-3-flash-preview,Q30,component_datasheet,NO,NO
gemini-3-flash-preview,Q31,spice_behaviour,YES,NO
gemini-3-flash-preview,Q32,theory_layout,YES,YES
gemini-3-flash-preview,Q33,spice_behaviour,NO,NO
gemini-3-flash-preview,Q34,component_datasheet,YES,YES
gemini-3-flash-preview,Q35,component_datasheet,YES,NO
gemini-3-flash-preview,Q36,component_datasheet,NO,NO
gemini-3-flash-preview,Q37,theory_layout,YES,YES
gemini-3-flash-preview,Q38,component_datasheet,YES,YES
gemini-3-flash-preview,Q39,spice_behaviour,NO,NO
gemini-3-flash-preview,Q40,component_datasheet,NO,NO
gemini-3-flash-preview,Q41,component_datasheet,YES,YES
gemini-3-flash-preview,Q42,theory_layout,NO,NO
gemini-3-flash-preview,Q43,spice_behaviour,NO,NO
gemini-3-flash-preview,Q44,theory_layout,YES,YES
gemini-3-flash-preview,Q45,component_datasheet,YES,YES
gemini-3-flash-preview,Q46,theory_layout,YES,YES
gemini-3-flash-preview,Q47,spice_behaviour,YES,YES
gemini-3-flash-preview,Q48,component_datasheet,YES,YES
gemini-3-flash-preview,Q49,spice_behaviour,NO,NO
gemini-3-flash-preview,Q50,theory_layout,YES,NO
gemini-3-flash-preview,Q51,spice_behaviour,YES,YES
gemini-3-flash-preview,Q52,theory_layout,YES,YES
gemini-3-flash-preview,Q53,component_datasheet,YES,YES
gemini-3-flash-preview,Q54,spice_behaviour,YES,NO
gemini-3-flash-preview,Q55,theory_layout,YES,YES
gemini-3-flash-preview,Q56,theory_layout,YES,YES
gemini-3-flash-preview,Q57,spice_behaviour,NO,NO
gemini-3-flash-preview,Q58,theory_layout,YES,YES
gemini-3-flash-preview,Q59,component_datasheet,YES,YES
gemini-3-flash-preview,Q60,spice_behaviour,NO,NO
Accuracy,Precision,Recall,F1 Score
0.85,0.8043478260869565,0.9021739130434783,0.8241615109084989
