Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q2,theory_layout,YES,NO
llama-3.3-70b-instruct,Q3,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q4,theory_layout,YES,YES
llama-3.3-70b-instruct,Q5,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q6,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q7,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q8,theory_layout,NO,NO
llama-3.3-70b-instruct,Q9,theory_layout,YES,NO
llama-3.3-70b-instruct,Q10,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q11,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q12,theory_layout,YES,YES
llama-3.3-70b-instruct,Q13,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q14,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q15,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q16,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q17,theory_layout,YES,YES
llama-3.3-70b-instruct,Q18,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q19,theory_layout,YES,YES
llama-3.3-70b-instruct,Q20,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q21,theory_layout,YES,YES
llama-3.3-70b-instruct,Q22,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q23,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q24,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q25,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q26,theory_layout,YES,YES
llama-3.3-70b-instruct,Q27,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q28,theory_layout,YES,YES
llama-3.3-70b-instruct,Q29,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q30,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q31,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q32,theory_layout,YES,NO
llama-3.3-70b-instruct,Q33,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q34,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q35,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q36,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q37,theory_layout,YES,YES
llama-3.3-70b-instruct,Q38,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q39,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q40,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q41,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q42,theory_layout,NO,NO
llama-3.3-70b-instruct,Q43,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q44,theory_layout,YES,NO
llama-3.3-70b-instruct,Q45,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q46,theory_layout,YES,NO
llama-3.3-70b-instruct,Q47,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q48,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q49,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q50,theory_layout,YES,NO
llama-3.3-70b-instruct,Q51,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q52,theory_layout,YES,YES
llama-3.3-70b-instruct,Q53,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q54,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q55,theory_layout,YES,NO
llama-3.3-70b-instruct,Q56,theory_layout,YES,YES
llama-3.3-70b-instruct,Q57,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q58,theory_layout,YES,NO
llama-3.3-70b-instruct,Q59,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q60,spice_behaviour,NO,NO
Accuracy,Precision,Recall,F1 Score
0.45,0.648936170212766,0.6413043478260869,0.44984717977215893
