Model,Question,Category,Actual_Response,Predicted_Response
claude-sonnet-4.6,Q1,component_datasheet,YES,YES
claude-sonnet-4.6,Q2,theory_layout,YES,YES
claude-sonnet-4.6,Q3,spice_behaviour,YES,NO
claude-sonnet-4.6,Q4,theory_layout,YES,YES
claude-sonnet-4.6,Q5,component_datasheet,YES,YES
claude-sonnet-4.6,Q6,spice_behaviour,YES,NO
claude-sonnet-4.6,Q7,spice_behaviour,YES,NO
claude-sonnet-4.6,Q8,theory_layout,NO,NO
claude-sonnet-4.6,Q9,theory_layout,YES,NO
claude-sonnet-4.6,Q10,component_datasheet,YES,YES
claude-sonnet-4.6,Q11,spice_behaviour,YES,NO
claude-sonnet-4.6,Q12,theory_layout,YES,YES
claude-sonnet-4.6,Q13,component_datasheet,YES,YES
claude-sonnet-4.6,Q14,component_datasheet,NO,NO
claude-sonnet-4.6,Q15,spice_behaviour,YES,NO
claude-sonnet-4.6,Q16,component_datasheet,YES,NO
claude-sonnet-4.6,Q17,theory_layout,YES,YES
claude-sonnet-4.6,Q18,spice_behaviour,YES,NO
claude-sonnet-4.6,Q19,theory_layout,YES,YES
claude-sonnet-4.6,Q20,spice_behaviour,NO,NO
claude-sonnet-4.6,Q21,theory_layout,YES,YES
claude-sonnet-4.6,Q22,spice_behaviour,YES,NO
claude-sonnet-4.6,Q23,component_datasheet,YES,NO
claude-sonnet-4.6,Q24,component_datasheet,YES,NO
claude-sonnet-4.6,Q25,spice_behaviour,YES,NO
claude-sonnet-4.6,Q26,theory_layout,YES,NO
claude-sonnet-4.6,Q27,component_datasheet,YES,YES
claude-sonnet-4.6,Q28,theory_layout,YES,YES
claude-sonnet-4.6,Q29,spice_behaviour,NO,NO
claude-sonnet-4.6,Q30,component_datasheet,NO,NO
claude-sonnet-4.6,Q31,spice_behaviour,YES,NO
claude-sonnet-4.6,Q32,theory_layout,YES,YES
claude-sonnet-4.6,Q33,spice_behaviour,NO,NO
claude-sonnet-4.6,Q34,component_datasheet,YES,NO
claude-sonnet-4.6,Q35,component_datasheet,YES,NO
claude-sonnet-4.6,Q36,component_datasheet,NO,NO
claude-sonnet-4.6,Q37,theory_layout,YES,YES
claude-sonnet-4.6,Q38,component_datasheet,YES,YES
claude-sonnet-4.6,Q39,spice_behaviour,NO,NO
claude-sonnet-4.6,Q40,component_datasheet,NO,NO
claude-sonnet-4.6,Q41,component_datasheet,YES,NO
claude-sonnet-4.6,Q42,theory_layout,NO,NO
claude-sonnet-4.6,Q43,spice_behaviour,NO,NO
claude-sonnet-4.6,Q44,theory_layout,YES,YES
claude-sonnet-4.6,Q45,component_datasheet,YES,YES
claude-sonnet-4.6,Q46,theory_layout,YES,NO
claude-sonnet-4.6,Q47,spice_behaviour,YES,NO
claude-sonnet-4.6,Q48,component_datasheet,YES,NO
claude-sonnet-4.6,Q49,spice_behaviour,NO,NO
claude-sonnet-4.6,Q50,theory_layout,YES,NO
claude-sonnet-4.6,Q51,spice_behaviour,YES,NO
claude-sonnet-4.6,Q52,theory_layout,YES,YES
claude-sonnet-4.6,Q53,component_datasheet,YES,NO
claude-sonnet-4.6,Q54,spice_behaviour,YES,NO
claude-sonnet-4.6,Q55,theory_layout,YES,YES
claude-sonnet-4.6,Q56,theory_layout,YES,YES
claude-sonnet-4.6,Q57,spice_behaviour,NO,NO
claude-sonnet-4.6,Q58,theory_layout,YES,YES
claude-sonnet-4.6,Q59,component_datasheet,YES,NO
claude-sonnet-4.6,Q60,spice_behaviour,NO,NO
Accuracy,Precision,Recall,F1 Score
0.5833333333333334,0.6794871794871795,0.7282608695652174,0.5775837792171219
