Model,Question,Category,Actual_Response,Predicted_Response
gemini-3-flash-preview,Q1,spice_behaviour,NO,NO
gemini-3-flash-preview,Q2,theory_layout,YES,YES
gemini-3-flash-preview,Q3,component_datasheet,YES,YES
gemini-3-flash-preview,Q4,theory_layout,YES,YES
gemini-3-flash-preview,Q5,spice_behaviour,YES,NO
gemini-3-flash-preview,Q6,theory_layout,YES,YES
gemini-3-flash-preview,Q7,theory_layout,NO,NO
gemini-3-flash-preview,Q8,spice_behaviour,NO,NO
gemini-3-flash-preview,Q9,component_datasheet,YES,YES
gemini-3-flash-preview,Q10,theory_layout,YES,YES
gemini-3-flash-preview,Q11,spice_behaviour,YES,NO
gemini-3-flash-preview,Q12,theory_layout,YES,YES
gemini-3-flash-preview,Q13,component_datasheet,YES,YES
gemini-3-flash-preview,Q14,theory_layout,NO,NO
gemini-3-flash-preview,Q15,spice_behaviour,NO,NO
gemini-3-flash-preview,Q16,component_datasheet,YES,YES
gemini-3-flash-preview,Q17,spice_behaviour,YES,NO
gemini-3-flash-preview,Q18,theory_layout,YES,YES
gemini-3-flash-preview,Q19,component_datasheet,YES,YES
gemini-3-flash-preview,Q20,theory_layout,YES,YES
gemini-3-flash-preview,Q21,component_datasheet,YES,YES
gemini-3-flash-preview,Q22,spice_behaviour,NO,NO
gemini-3-flash-preview,Q23,theory_layout,YES,YES
gemini-3-flash-preview,Q24,component_datasheet,YES,YES
gemini-3-flash-preview,Q25,spice_behaviour,NO,NO
gemini-3-flash-preview,Q26,theory_layout,YES,YES
gemini-3-flash-preview,Q27,component_datasheet,YES,YES
gemini-3-flash-preview,Q28,component_datasheet,NO,NO
gemini-3-flash-preview,Q29,theory_layout,NO,YES
gemini-3-flash-preview,Q30,spice_behaviour,YES,NO
gemini-3-flash-preview,Q31,component_datasheet,NO,NO
gemini-3-flash-preview,Q32,spice_behaviour,NO,NO
gemini-3-flash-preview,Q33,component_datasheet,NO,NO
gemini-3-flash-preview,Q34,theory_layout,NO,NO
gemini-3-flash-preview,Q35,spice_behaviour,YES,NO
gemini-3-flash-preview,Q36,theory_layout,YES,YES
gemini-3-flash-preview,Q37,component_datasheet,YES,NO
gemini-3-flash-preview,Q38,spice_behaviour,YES,NO
gemini-3-flash-preview,Q39,theory_layout,YES,YES
gemini-3-flash-preview,Q40,component_datasheet,YES,NO
gemini-3-flash-preview,Q41,theory_layout,YES,YES
gemini-3-flash-preview,Q42,component_datasheet,YES,YES
gemini-3-flash-preview,Q43,spice_behaviour,NO,NO
gemini-3-flash-preview,Q44,theory_layout,YES,YES
gemini-3-flash-preview,Q45,spice_behaviour,NO,NO
gemini-3-flash-preview,Q46,component_datasheet,YES,YES
gemini-3-flash-preview,Q47,component_datasheet,YES,YES
gemini-3-flash-preview,Q48,theory_layout,YES,YES
gemini-3-flash-preview,Q49,spice_behaviour,YES,NO
gemini-3-flash-preview,Q50,component_datasheet,NO,NO
gemini-3-flash-preview,Q51,theory_layout,NO,NO
gemini-3-flash-preview,Q52,spice_behaviour,YES,NO
gemini-3-flash-preview,Q53,spice_behaviour,NO,NO
gemini-3-flash-preview,Q54,theory_layout,YES,YES
gemini-3-flash-preview,Q55,component_datasheet,NO,NO
gemini-3-flash-preview,Q56,spice_behaviour,YES,NO
gemini-3-flash-preview,Q57,component_datasheet,NO,NO
gemini-3-flash-preview,Q58,spice_behaviour,NO,NO
gemini-3-flash-preview,Q59,component_datasheet,YES,YES
gemini-3-flash-preview,Q60,spice_behaviour,YES,NO
Accuracy,Precision,Recall,F1 Score
0.7833333333333333,0.7946428571428572,0.8223443223443223,0.7803435651929034
