Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q2,theory_layout,YES,YES
llama-3.3-70b-instruct,Q3,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q4,theory_layout,YES,NO
llama-3.3-70b-instruct,Q5,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q6,theory_layout,YES,NO
llama-3.3-70b-instruct,Q7,theory_layout,NO,NO
llama-3.3-70b-instruct,Q8,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q9,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q10,theory_layout,YES,NO
llama-3.3-70b-instruct,Q11,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q12,theory_layout,YES,NO
llama-3.3-70b-instruct,Q13,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q14,theory_layout,NO,NO
llama-3.3-70b-instruct,Q15,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q16,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q17,spice_behaviour,YES,N/A
llama-3.3-70b-instruct,Q18,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q19,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q20,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q21,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q22,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q23,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q24,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q25,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q26,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q27,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q28,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q29,theory_layout,NO,N/A
llama-3.3-70b-instruct,Q30,spice_behaviour,YES,N/A
llama-3.3-70b-instruct,Q31,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q32,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q33,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q34,theory_layout,NO,N/A
llama-3.3-70b-instruct,Q35,spice_behaviour,YES,N/A
llama-3.3-70b-instruct,Q36,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q37,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q38,spice_behaviour,YES,N/A
llama-3.3-70b-instruct,Q39,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q40,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q41,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q42,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q43,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q44,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q45,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q46,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q47,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q48,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q49,spice_behaviour,YES,N/A
llama-3.3-70b-instruct,Q50,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q51,theory_layout,NO,N/A
llama-3.3-70b-instruct,Q52,spice_behaviour,YES,N/A
llama-3.3-70b-instruct,Q53,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q54,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q55,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q56,spice_behaviour,YES,N/A
llama-3.3-70b-instruct,Q57,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q58,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q59,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q60,spice_behaviour,YES,N/A
Accuracy,Precision,Recall,F1 Score
0.5333333333333333,0.7083333333333334,0.65,0.5248868778280543
