Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q2,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q3,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q4,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q5,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q6,theory_layout,YES,NO
llama-3.3-70b-instruct,Q7,theory_layout,YES,YES
llama-3.3-70b-instruct,Q8,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q9,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q10,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q11,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q12,theory_layout,YES,NO
llama-3.3-70b-instruct,Q13,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q14,theory_layout,YES,YES
llama-3.3-70b-instruct,Q15,theory_layout,YES,YES
llama-3.3-70b-instruct,Q16,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q17,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q18,theory_layout,YES,YES
llama-3.3-70b-instruct,Q19,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q20,theory_layout,YES,YES
llama-3.3-70b-instruct,Q21,theory_layout,YES,NO
llama-3.3-70b-instruct,Q22,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q23,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q24,theory_layout,YES,YES
llama-3.3-70b-instruct,Q25,theory_layout,YES,NO
llama-3.3-70b-instruct,Q26,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q27,theory_layout,YES,YES
llama-3.3-70b-instruct,Q28,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q29,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q30,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q31,theory_layout,YES,YES
llama-3.3-70b-instruct,Q32,theory_layout,YES,YES
llama-3.3-70b-instruct,Q33,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q34,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q35,theory_layout,YES,YES
llama-3.3-70b-instruct,Q36,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q37,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q38,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q39,theory_layout,YES,YES
llama-3.3-70b-instruct,Q40,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q41,theory_layout,YES,NO
llama-3.3-70b-instruct,Q42,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q43,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q44,theory_layout,NO,NO
llama-3.3-70b-instruct,Q45,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q46,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q47,theory_layout,YES,NO
llama-3.3-70b-instruct,Q48,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q49,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q50,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q51,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q52,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q53,theory_layout,YES,NO
llama-3.3-70b-instruct,Q54,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q55,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q56,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q57,theory_layout,NO,NO
llama-3.3-70b-instruct,Q58,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q59,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q60,spice_behaviour,YES,YES
Accuracy,Precision,Recall,F1 Score
0.7333333333333333,0.7647058823529411,0.8095238095238095,0.7285067873303167
