Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,component_datasheet,YES,NO
gpt-5.4-nano,Q2,spice_behaviour,YES,NO
gpt-5.4-nano,Q3,component_datasheet,YES,NO
gpt-5.4-nano,Q4,component_datasheet,YES,NO
gpt-5.4-nano,Q5,spice_behaviour,YES,NO
gpt-5.4-nano,Q6,theory_layout,YES,NO
gpt-5.4-nano,Q7,theory_layout,YES,YES
gpt-5.4-nano,Q8,component_datasheet,NO,NO
gpt-5.4-nano,Q9,component_datasheet,NO,NO
gpt-5.4-nano,Q10,component_datasheet,YES,NO
gpt-5.4-nano,Q11,component_datasheet,YES,NO
gpt-5.4-nano,Q12,theory_layout,YES,YES
gpt-5.4-nano,Q13,component_datasheet,NO,NO
gpt-5.4-nano,Q14,theory_layout,YES,YES
gpt-5.4-nano,Q15,theory_layout,YES,YES
Accuracy,Precision,Recall,F1 Score
0.4666666666666667,0.6363636363636364,0.6666666666666666,0.4642857142857143
