Model,Question,Category,Actual_Response,Predicted_Response
claude-sonnet-4.6,Q1,component_datasheet,YES,YES
claude-sonnet-4.6,Q2,spice_behaviour,YES,NO
claude-sonnet-4.6,Q3,component_datasheet,YES,YES
claude-sonnet-4.6,Q4,component_datasheet,YES,YES
claude-sonnet-4.6,Q5,spice_behaviour,YES,NO
claude-sonnet-4.6,Q6,theory_layout,YES,YES
claude-sonnet-4.6,Q7,theory_layout,YES,YES
claude-sonnet-4.6,Q8,component_datasheet,NO,NO
claude-sonnet-4.6,Q9,component_datasheet,NO,NO
claude-sonnet-4.6,Q10,component_datasheet,YES,NO
claude-sonnet-4.6,Q11,component_datasheet,YES,YES
claude-sonnet-4.6,Q12,theory_layout,YES,YES
claude-sonnet-4.6,Q13,component_datasheet,NO,NO
claude-sonnet-4.6,Q14,theory_layout,YES,YES
claude-sonnet-4.6,Q15,theory_layout,YES,YES
claude-sonnet-4.6,Q16,component_datasheet,YES,NO
claude-sonnet-4.6,Q17,spice_behaviour,NO,NO
claude-sonnet-4.6,Q18,theory_layout,YES,YES
claude-sonnet-4.6,Q19,component_datasheet,YES,NO
claude-sonnet-4.6,Q20,theory_layout,YES,YES
claude-sonnet-4.6,Q21,theory_layout,YES,YES
claude-sonnet-4.6,Q22,component_datasheet,YES,YES
claude-sonnet-4.6,Q23,spice_behaviour,NO,NO
claude-sonnet-4.6,Q24,theory_layout,YES,YES
claude-sonnet-4.6,Q25,theory_layout,YES,YES
claude-sonnet-4.6,Q26,spice_behaviour,NO,NO
claude-sonnet-4.6,Q27,theory_layout,YES,YES
claude-sonnet-4.6,Q28,component_datasheet,YES,YES
claude-sonnet-4.6,Q29,spice_behaviour,YES,NO
claude-sonnet-4.6,Q30,spice_behaviour,NO,NO
claude-sonnet-4.6,Q31,theory_layout,YES,YES
claude-sonnet-4.6,Q32,theory_layout,YES,YES
claude-sonnet-4.6,Q33,spice_behaviour,NO,NO
claude-sonnet-4.6,Q34,component_datasheet,YES,YES
claude-sonnet-4.6,Q35,theory_layout,YES,YES
claude-sonnet-4.6,Q36,spice_behaviour,NO,NO
claude-sonnet-4.6,Q37,component_datasheet,YES,NO
claude-sonnet-4.6,Q38,spice_behaviour,NO,NO
claude-sonnet-4.6,Q39,theory_layout,YES,YES
claude-sonnet-4.6,Q40,spice_behaviour,YES,NO
claude-sonnet-4.6,Q41,theory_layout,YES,YES
claude-sonnet-4.6,Q42,component_datasheet,NO,NO
claude-sonnet-4.6,Q43,spice_behaviour,YES,NO
claude-sonnet-4.6,Q44,theory_layout,NO,NO
claude-sonnet-4.6,Q45,component_datasheet,YES,YES
claude-sonnet-4.6,Q46,spice_behaviour,NO,NO
claude-sonnet-4.6,Q47,theory_layout,YES,YES
claude-sonnet-4.6,Q48,spice_behaviour,YES,NO
claude-sonnet-4.6,Q49,component_datasheet,YES,YES
claude-sonnet-4.6,Q50,spice_behaviour,NO,NO
claude-sonnet-4.6,Q51,component_datasheet,YES,YES
claude-sonnet-4.6,Q52,spice_behaviour,NO,NO
claude-sonnet-4.6,Q53,theory_layout,YES,YES
claude-sonnet-4.6,Q54,spice_behaviour,YES,NO
claude-sonnet-4.6,Q55,component_datasheet,NO,NO
claude-sonnet-4.6,Q56,spice_behaviour,YES,NO
claude-sonnet-4.6,Q57,theory_layout,NO,NO
claude-sonnet-4.6,Q58,spice_behaviour,NO,NO
claude-sonnet-4.6,Q59,component_datasheet,YES,YES
claude-sonnet-4.6,Q60,spice_behaviour,YES,NO
Accuracy,Precision,Recall,F1 Score
0.7833333333333333,0.7903225806451613,0.8452380952380952,0.7757976430008624
