Project,Model,Category,TP,TN,FP,FN,Total,Accuracy
AcornRobotElectronics,gpt-5.4-nano,component_datasheet,0,2,0,2,4,0.5000
AcornRobotElectronics,gpt-5.4-nano,spice_behaviour,0,1,0,5,6,0.1667
AcornRobotElectronics,gpt-5.4-nano,theory_layout,1,1,0,3,5,0.4000
CF-Chef,gpt-5.4-nano,component_datasheet,0,1,0,5,6,0.1667
CF-Chef,gpt-5.4-nano,spice_behaviour,0,2,0,3,5,0.4000
CF-Chef,gpt-5.4-nano,theory_layout,0,2,1,1,4,0.5000
HadesFCS,gpt-5.4-nano,component_datasheet,0,4,0,2,6,0.6667
HadesFCS,gpt-5.4-nano,spice_behaviour,0,3,0,2,5,0.6000
HadesFCS,gpt-5.4-nano,theory_layout,0,1,0,3,4,0.2500
Meshinger,gpt-5.4-nano,component_datasheet,0,1,0,4,5,0.2000
Meshinger,gpt-5.4-nano,spice_behaviour,0,0,0,5,5,0.0000
Meshinger,gpt-5.4-nano,theory_layout,3,1,0,1,5,0.8000
OPNhydro-r2,gpt-5.4-nano,component_datasheet,1,0,0,2,3,0.3333
OPNhydro-r2,gpt-5.4-nano,spice_behaviour,0,3,0,2,5,0.6000
OPNhydro-r2,gpt-5.4-nano,theory_layout,1,2,0,4,7,0.4286
PortalHardware,gpt-5.4-nano,component_datasheet,0,3,0,5,8,0.3750
PortalHardware,gpt-5.4-nano,spice_behaviour,0,0,0,2,2,0.0000
PortalHardware,gpt-5.4-nano,theory_layout,4,0,0,1,5,0.8000
fan_controller,gpt-5.4-nano,component_datasheet,0,1,0,5,6,0.1667
fan_controller,gpt-5.4-nano,spice_behaviour,0,1,0,5,6,0.1667
fan_controller,gpt-5.4-nano,theory_layout,3,0,0,0,3,1.0000
stack-chan,gpt-5.4-nano,component_datasheet,0,4,0,1,5,0.8000
stack-chan,gpt-5.4-nano,spice_behaviour,0,3,0,3,6,0.5000
stack-chan,gpt-5.4-nano,theory_layout,1,1,0,2,4,0.5000
TOTAL,,,14,37,1,68,120,0.4250
