format_set,project,total_component_datasheet,used_get_relevant_context,pct
PNet&NCir,AcornRobotElectronics,16,16,100.0
PNet&NCir,CF-Chef,24,24,100.0
PNet&NCir,HadesFCS,24,24,100.0
PNet&NCir,Meshinger,20,20,100.0
PNet&NCir,OPNhydro-r2,13,13,100.0
PNet&NCir,PortalHardware,32,32,100.0
PNet&NCir,fan_controller,24,24,100.0
PNet&NCir,stack-chan,20,20,100.0
PNet&NCir,ALL,173,173,100.0
PNet&PCir,AcornRobotElectronics,80,60,75.0
PNet&PCir,CF-Chef,80,80,100.0
PNet&PCir,HadesFCS,80,60,75.0
PNet&PCir,Meshinger,80,60,75.0
PNet&PCir,OPNhydro-r2,80,80,100.0
PNet&PCir,PortalHardware,80,60,75.0
PNet&PCir,fan_controller,80,60,75.0
PNet&PCir,stack-chan,80,80,100.0
PNet&PCir,ALL,640,540,84.4
