toolmode,project,model,category,accuracy,precision,recall,f1_score,count
NNet&NCir,AcornRobotElectronics,claude-sonnet-4.6,component_datasheet,0.6,0.7895,0.5556,0.4667,20
NNet&NCir,AcornRobotElectronics,claude-sonnet-4.6,spice_behaviour,0.3,0.6316,0.5333,0.2708,20
NNet&NCir,AcornRobotElectronics,claude-sonnet-4.6,theory_layout,0.95,0.9167,0.9667,0.9373,20
NNet&NCir,AcornRobotElectronics,claude-sonnet-4.6,ALL,0.6167,0.7386,0.7051,0.614,60
NNet&NCir,AcornRobotElectronics,gemini-3-flash-preview,component_datasheet,0.8,0.798,0.798,0.798,20
NNet&NCir,AcornRobotElectronics,gemini-3-flash-preview,spice_behaviour,0.65,0.7083,0.7667,0.6419,20
NNet&NCir,AcornRobotElectronics,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,20
NNet&NCir,AcornRobotElectronics,gemini-3-flash-preview,ALL,0.8167,0.808,0.837,0.8103,60
NNet&NCir,AcornRobotElectronics,gpt-5.4-nano,component_datasheet,0.6,0.7895,0.5556,0.4667,20
NNet&NCir,AcornRobotElectronics,gpt-5.4-nano,spice_behaviour,0.25,0.125,0.5,0.2,20
NNet&NCir,AcornRobotElectronics,gpt-5.4-nano,theory_layout,0.6,0.6263,0.6667,0.5833,20
NNet&NCir,AcornRobotElectronics,gpt-5.4-nano,ALL,0.4833,0.65,0.5916,0.4654,60
NNet&NCir,CF-Chef,claude-sonnet-4.6,component_datasheet,0.5,0.6,0.5824,0.4949,20
NNet&NCir,CF-Chef,claude-sonnet-4.6,spice_behaviour,0.8,0.875,0.75,0.7619,20
NNet&NCir,CF-Chef,claude-sonnet-4.6,theory_layout,0.95,0.9643,0.9286,0.943,20
NNet&NCir,CF-Chef,claude-sonnet-4.6,ALL,0.75,0.7808,0.7704,0.7494,60
NNet&NCir,CF-Chef,gemini-3-flash-preview,component_datasheet,0.85,0.8333,0.8516,0.84,20
NNet&NCir,CF-Chef,gemini-3-flash-preview,spice_behaviour,0.85,0.9,0.8125,0.8291,20
NNet&NCir,CF-Chef,gemini-3-flash-preview,theory_layout,0.95,0.9643,0.9286,0.943,20
NNet&NCir,CF-Chef,gemini-3-flash-preview,ALL,0.8833,0.8815,0.888,0.8825,60
NNet&NCir,CF-Chef,gpt-5.4-nano,component_datasheet,0.45,0.6944,0.5769,0.4133,20
NNet&NCir,CF-Chef,gpt-5.4-nano,spice_behaviour,0.7,0.8333,0.625,0.6,20
NNet&NCir,CF-Chef,gpt-5.4-nano,theory_layout,0.55,0.7188,0.6538,0.5396,20
NNet&NCir,CF-Chef,gpt-5.4-nano,ALL,0.5667,0.75,0.6176,0.5238,60
NNet&NCir,CF-Chef,llama-3.3-70b-instruct,component_datasheet,0.5,0.7059,0.6154,0.4792,20
NNet&NCir,CF-Chef,llama-3.3-70b-instruct,spice_behaviour,0.6,0.3,0.5,0.375,20
NNet&NCir,CF-Chef,llama-3.3-70b-instruct,theory_layout,0.6842,0.75,0.7692,0.6833,19
NNet&NCir,CF-Chef,llama-3.3-70b-instruct,ALL,0.5932,0.7551,0.6471,0.5651,59
NNet&NCir,HadesFCS,claude-sonnet-4.6,component_datasheet,0.6,0.625,0.625,0.6,20
NNet&NCir,HadesFCS,claude-sonnet-4.6,spice_behaviour,0.7,0.6667,0.6374,0.6429,20
NNet&NCir,HadesFCS,claude-sonnet-4.6,theory_layout,1.0,1.0,1.0,1.0,20
NNet&NCir,HadesFCS,claude-sonnet-4.6,ALL,0.7667,0.7631,0.7779,0.7624,60
NNet&NCir,HadesFCS,gemini-3-flash-preview,component_datasheet,0.75,0.7626,0.7708,0.7494,20
NNet&NCir,HadesFCS,gemini-3-flash-preview,spice_behaviour,0.85,0.8452,0.8187,0.8291,20
NNet&NCir,HadesFCS,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,20
NNet&NCir,HadesFCS,gemini-3-flash-preview,ALL,0.8667,0.8586,0.8754,0.8629,60
NNet&NCir,HadesFCS,gpt-5.4-nano,component_datasheet,0.55,0.7353,0.625,0.52,20
NNet&NCir,HadesFCS,gpt-5.4-nano,spice_behaviour,0.65,0.325,0.5,0.3939,20
NNet&NCir,HadesFCS,gpt-5.4-nano,theory_layout,0.7,0.625,0.8333,0.6,20
NNet&NCir,HadesFCS,gpt-5.4-nano,ALL,0.6333,0.7556,0.7027,0.6267,60
NNet&NCir,HadesFCS,llama-3.3-70b-instruct,component_datasheet,0.65,0.6978,0.6875,0.6491,20
NNet&NCir,HadesFCS,llama-3.3-70b-instruct,spice_behaviour,0.65,0.325,0.5,0.3939,20
NNet&NCir,HadesFCS,llama-3.3-70b-instruct,theory_layout,0.35,0.5667,0.6389,0.335,20
NNet&NCir,HadesFCS,llama-3.3-70b-instruct,ALL,0.55,0.6875,0.6269,0.5343,60
NNet&NCir,Meshinger,claude-sonnet-4.6,component_datasheet,0.6,0.6667,0.75,0.5833,20
NNet&NCir,Meshinger,claude-sonnet-4.6,spice_behaviour,0.85,0.8636,0.875,0.8496,20
NNet&NCir,Meshinger,claude-sonnet-4.6,theory_layout,0.85,0.7,0.9167,0.7403,20
NNet&NCir,Meshinger,claude-sonnet-4.6,ALL,0.7667,0.75,0.8478,0.7436,60
NNet&NCir,Meshinger,gemini-3-flash-preview,component_datasheet,0.85,0.7857,0.9062,0.8119,20
NNet&NCir,Meshinger,gemini-3-flash-preview,spice_behaviour,0.75,0.8077,0.7917,0.7494,20
NNet&NCir,Meshinger,gemini-3-flash-preview,theory_layout,0.95,0.8333,0.9722,0.8857,20
NNet&NCir,Meshinger,gemini-3-flash-preview,ALL,0.85,0.8043,0.9022,0.8242,60
NNet&NCir,Meshinger,gpt-5.4-nano,component_datasheet,0.3,0.6111,0.5625,0.2929,20
NNet&NCir,Meshinger,gpt-5.4-nano,spice_behaviour,0.45,0.7105,0.5417,0.3732,20
NNet&NCir,Meshinger,gpt-5.4-nano,theory_layout,0.65,0.6111,0.8056,0.5611,20
NNet&NCir,Meshinger,gpt-5.4-nano,ALL,0.4667,0.6522,0.6522,0.4667,60
NNet&NCir,Meshinger,llama-3.3-70b-instruct,component_datasheet,0.25,0.6053,0.5312,0.2327,20
NNet&NCir,Meshinger,llama-3.3-70b-instruct,spice_behaviour,0.5,0.7222,0.5833,0.4505,20
NNet&NCir,Meshinger,llama-3.3-70b-instruct,theory_layout,0.6,0.6,0.7778,0.5238,20
NNet&NCir,Meshinger,llama-3.3-70b-instruct,ALL,0.45,0.6489,0.6413,0.4498,60
NNet&NCir,OPNhydro-r2,claude-sonnet-4.6,component_datasheet,0.8,0.7708,0.8095,0.7802,20
NNet&NCir,OPNhydro-r2,claude-sonnet-4.6,spice_behaviour,0.6316,0.7941,0.6111,0.5522,19
