toolmode,model,category,TP,TN,FP,FN,Total,Accuracy
NNet&NCir,claude-sonnet-4.6,component_datasheet,56,57,43,4,160,0.7062
NNet&NCir,claude-sonnet-4.6,spice_behaviour,32,80,44,3,159,0.7044
NNet&NCir,claude-sonnet-4.6,theory_layout,122,30,6,2,160,0.95
NNet&NCir,gemini-3-flash-preview,component_datasheet,78,56,21,5,160,0.8375
NNet&NCir,gemini-3-flash-preview,spice_behaviour,38,82,39,1,160,0.75
NNet&NCir,gemini-3-flash-preview,theory_layout,127,30,1,2,160,0.9812
NNet&NCir,gpt-5.4-nano,component_datasheet,17,61,82,0,160,0.4875
NNet&NCir,gpt-5.4-nano,spice_behaviour,5,83,72,0,160,0.55
NNet&NCir,gpt-5.4-nano,theory_layout,67,30,61,2,160,0.6062
NNet&NCir,llama-3.3-70b-instruct,component_datasheet,27,46,62,2,137,0.5328
NNet&NCir,llama-3.3-70b-instruct,spice_behaviour,3,76,57,1,137,0.5766
NNet&NCir,llama-3.3-70b-instruct,theory_layout,55,24,57,1,137,0.5766
NNet&PCir,claude-sonnet-4.6,component_datasheet,21,15,6,1,43,0.8372
NNet&PCir,claude-sonnet-4.6,spice_behaviour,16,13,11,0,40,0.725
NNet&PCir,claude-sonnet-4.6,theory_layout,21,9,7,0,37,0.8108
NNet&PCir,gemini-3-flash-preview,component_datasheet,18,15,9,1,43,0.7674
NNet&PCir,gemini-3-flash-preview,spice_behaviour,16,13,11,0,40,0.725
NNet&PCir,gemini-3-flash-preview,theory_layout,28,9,0,0,37,1.0
NNet&PCir,gpt-5.4-nano,component_datasheet,17,14,10,2,43,0.7209
NNet&PCir,gpt-5.4-nano,spice_behaviour,19,13,8,0,40,0.8
NNet&PCir,gpt-5.4-nano,theory_layout,0,9,28,0,37,0.2432
NNet&PCir,llama-3.3-70b-instruct,component_datasheet,18,13,7,1,39,0.7949
NNet&PCir,llama-3.3-70b-instruct,spice_behaviour,13,12,9,0,34,0.7353
NNet&PCir,llama-3.3-70b-instruct,theory_layout,10,8,14,0,32,0.5625
PDF,gpt-5.4-nano,component_datasheet,1,16,26,0,43,0.3953
PDF,gpt-5.4-nano,spice_behaviour,0,13,27,0,40,0.325
PDF,gpt-5.4-nano,theory_layout,13,8,15,1,37,0.5676
PNet&NCir,claude-sonnet-4.6,component_datasheet,22,15,5,1,43,0.8605
PNet&NCir,claude-sonnet-4.6,spice_behaviour,0,13,27,0,40,0.325
PNet&NCir,claude-sonnet-4.6,theory_layout,24,9,4,0,37,0.8919
PNet&NCir,gemini-3-flash-preview,component_datasheet,23,15,4,1,43,0.8837
PNet&NCir,gemini-3-flash-preview,spice_behaviour,0,13,27,0,40,0.325
PNet&NCir,gemini-3-flash-preview,theory_layout,24,9,3,0,36,0.9167
PNet&NCir,gpt-5.4-nano,component_datasheet,19,15,8,1,43,0.7907
PNet&NCir,gpt-5.4-nano,spice_behaviour,0,13,27,0,40,0.325
PNet&NCir,gpt-5.4-nano,theory_layout,26,9,2,0,37,0.9459
PNet&NCir,llama-3.3-70b-instruct,component_datasheet,17,15,10,1,43,0.7442
PNet&NCir,llama-3.3-70b-instruct,spice_behaviour,0,13,27,0,40,0.325
PNet&NCir,llama-3.3-70b-instruct,theory_layout,10,9,18,0,37,0.5135
PNet&PCir,claude-sonnet-4.6,component_datasheet,67,59,32,2,160,0.7875
PNet&PCir,claude-sonnet-4.6,spice_behaviour,72,79,5,4,160,0.9438
PNet&PCir,claude-sonnet-4.6,theory_layout,125,30,2,2,159,0.9748
PNet&PCir,gemini-3-flash-preview,component_datasheet,82,59,17,2,160,0.8812
PNet&PCir,gemini-3-flash-preview,spice_behaviour,72,79,5,4,160,0.9438
PNet&PCir,gemini-3-flash-preview,theory_layout,126,30,2,2,160,0.975
PNet&PCir,gpt-5.4-nano,component_datasheet,56,59,43,2,160,0.7188
PNet&PCir,gpt-5.4-nano,spice_behaviour,72,79,5,4,160,0.9438
PNet&PCir,gpt-5.4-nano,theory_layout,126,30,2,2,160,0.975
PNet&PCir,llama-3.3-70b-instruct,component_datasheet,47,58,52,3,160,0.6562
PNet&PCir,llama-3.3-70b-instruct,spice_behaviour,64,80,13,3,160,0.9
PNet&PCir,llama-3.3-70b-instruct,theory_layout,126,30,2,2,160,0.975
