project,category,yes_count,no_count,total,yes_pct,no_pct
AcornRobotElectronics,component_datasheet,9,11,20,45.0,55.0
AcornRobotElectronics,spice_behaviour,15,5,20,75.0,25.0
AcornRobotElectronics,theory_layout,15,5,20,75.0,25.0
AcornRobotElectronics,ALL,39,21,60,65.0,35.0
CF-Chef,component_datasheet,13,7,20,65.0,35.0
CF-Chef,spice_behaviour,8,12,20,40.0,60.0
CF-Chef,theory_layout,13,7,20,65.0,35.0
CF-Chef,ALL,34,26,60,56.7,43.3
HadesFCS,component_datasheet,12,8,20,60.0,40.0
HadesFCS,spice_behaviour,7,13,20,35.0,65.0
HadesFCS,theory_layout,18,2,20,90.0,10.0
HadesFCS,ALL,37,23,60,61.7,38.3
Meshinger,component_datasheet,16,4,20,80.0,20.0
Meshinger,spice_behaviour,12,8,20,60.0,40.0
Meshinger,theory_layout,18,2,20,90.0,10.0
Meshinger,ALL,46,14,60,76.7,23.3
OPNhydro-r2,component_datasheet,14,6,20,70.0,30.0
OPNhydro-r2,spice_behaviour,10,10,20,50.0,50.0
OPNhydro-r2,theory_layout,15,5,20,75.0,25.0
OPNhydro-r2,ALL,39,21,60,65.0,35.0
PortalHardware,component_datasheet,15,5,20,75.0,25.0
PortalHardware,spice_behaviour,9,11,20,45.0,55.0
PortalHardware,theory_layout,18,2,20,90.0,10.0
PortalHardware,ALL,42,18,60,70.0,30.0
fan_controller,component_datasheet,13,7,20,65.0,35.0
fan_controller,spice_behaviour,10,10,20,50.0,50.0
fan_controller,theory_layout,16,4,20,80.0,20.0
fan_controller,ALL,39,21,60,65.0,35.0
stack-chan,component_datasheet,7,13,20,35.0,65.0
stack-chan,spice_behaviour,6,14,20,30.0,70.0
stack-chan,theory_layout,15,5,20,75.0,25.0
stack-chan,ALL,28,32,60,46.7,53.3
