Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,component_datasheet,YES,YES
gpt-5.4-nano,Q2,spice_behaviour,YES,NO
gpt-5.4-nano,Q3,theory_layout,YES,NO
gpt-5.4-nano,Q4,component_datasheet,NO,NO
gpt-5.4-nano,Q5,spice_behaviour,YES,NO
gpt-5.4-nano,Q6,component_datasheet,YES,NO
gpt-5.4-nano,Q7,theory_layout,YES,YES
gpt-5.4-nano,Q8,spice_behaviour,YES,NO
gpt-5.4-nano,Q9,component_datasheet,YES,NO
gpt-5.4-nano,Q10,spice_behaviour,YES,NO
gpt-5.4-nano,Q11,theory_layout,YES,YES
gpt-5.4-nano,Q12,spice_behaviour,YES,NO
gpt-5.4-nano,Q13,component_datasheet,YES,NO
gpt-5.4-nano,Q14,component_datasheet,YES,NO
gpt-5.4-nano,Q15,spice_behaviour,NO,NO
gpt-5.4-nano,Q16,theory_layout,YES,NO
gpt-5.4-nano,Q17,component_datasheet,YES,NO
gpt-5.4-nano,Q18,spice_behaviour,NO,NO
gpt-5.4-nano,Q19,component_datasheet,NO,NO
gpt-5.4-nano,Q20,theory_layout,YES,YES
gpt-5.4-nano,Q21,component_datasheet,YES,NO
gpt-5.4-nano,Q22,spice_behaviour,YES,NO
gpt-5.4-nano,Q23,theory_layout,YES,NO
gpt-5.4-nano,Q24,component_datasheet,NO,NO
gpt-5.4-nano,Q25,component_datasheet,YES,NO
gpt-5.4-nano,Q26,spice_behaviour,NO,NO
gpt-5.4-nano,Q27,theory_layout,YES,NO
gpt-5.4-nano,Q28,component_datasheet,NO,NO
gpt-5.4-nano,Q29,component_datasheet,YES,NO
gpt-5.4-nano,Q30,spice_behaviour,NO,NO
gpt-5.4-nano,Q31,component_datasheet,YES,NO
gpt-5.4-nano,Q32,theory_layout,YES,YES
gpt-5.4-nano,Q33,spice_behaviour,YES,NO
gpt-5.4-nano,Q34,component_datasheet,NO,NO
gpt-5.4-nano,Q35,component_datasheet,YES,NO
gpt-5.4-nano,Q36,spice_behaviour,NO,NO
gpt-5.4-nano,Q37,component_datasheet,NO,NO
gpt-5.4-nano,Q38,theory_layout,NO,NO
gpt-5.4-nano,Q39,spice_behaviour,NO,NO
gpt-5.4-nano,Q40,component_datasheet,YES,NO
gpt-5.4-nano,Q41,theory_layout,YES,NO
gpt-5.4-nano,Q42,spice_behaviour,NO,NO
gpt-5.4-nano,Q43,component_datasheet,NO,NO
gpt-5.4-nano,Q44,spice_behaviour,YES,NO
gpt-5.4-nano,Q45,theory_layout,NO,NO
gpt-5.4-nano,Q46,spice_behaviour,NO,NO
gpt-5.4-nano,Q47,theory_layout,YES,NO
gpt-5.4-nano,Q48,theory_layout,YES,NO
gpt-5.4-nano,Q49,theory_layout,YES,NO
gpt-5.4-nano,Q50,spice_behaviour,NO,NO
gpt-5.4-nano,Q51,spice_behaviour,YES,NO
gpt-5.4-nano,Q52,theory_layout,YES,YES
gpt-5.4-nano,Q53,theory_layout,YES,YES
gpt-5.4-nano,Q54,spice_behaviour,NO,NO
gpt-5.4-nano,Q55,theory_layout,NO,NO
gpt-5.4-nano,Q56,theory_layout,YES,NO
gpt-5.4-nano,Q57,component_datasheet,YES,NO
gpt-5.4-nano,Q58,theory_layout,NO,NO
gpt-5.4-nano,Q59,theory_layout,YES,NO
gpt-5.4-nano,Q60,spice_behaviour,YES,YES
Accuracy,Precision,Recall,F1 Score
0.48333333333333334,0.7019230769230769,0.6025641025641025,0.4578839988341591
