Model,Question,Category,Actual_Response,Predicted_Response
gemini-3-flash-preview,Q1,component_datasheet,YES,YES
gemini-3-flash-preview,Q2,spice_behaviour,YES,YES
gemini-3-flash-preview,Q3,theory_layout,YES,YES
gemini-3-flash-preview,Q4,component_datasheet,NO,NO
gemini-3-flash-preview,Q5,spice_behaviour,YES,NO
gemini-3-flash-preview,Q6,component_datasheet,YES,YES
gemini-3-flash-preview,Q7,theory_layout,YES,YES
gemini-3-flash-preview,Q8,spice_behaviour,YES,NO
gemini-3-flash-preview,Q9,component_datasheet,YES,NO
gemini-3-flash-preview,Q10,spice_behaviour,YES,YES
gemini-3-flash-preview,Q11,theory_layout,YES,YES
gemini-3-flash-preview,Q12,spice_behaviour,YES,NO
gemini-3-flash-preview,Q13,component_datasheet,YES,NO
gemini-3-flash-preview,Q14,component_datasheet,YES,YES
gemini-3-flash-preview,Q15,spice_behaviour,NO,NO
gemini-3-flash-preview,Q16,theory_layout,YES,YES
gemini-3-flash-preview,Q17,component_datasheet,YES,YES
gemini-3-flash-preview,Q18,spice_behaviour,NO,NO
gemini-3-flash-preview,Q19,component_datasheet,NO,NO
gemini-3-flash-preview,Q20,theory_layout,YES,YES
gemini-3-flash-preview,Q21,component_datasheet,YES,NO
gemini-3-flash-preview,Q22,spice_behaviour,YES,NO
gemini-3-flash-preview,Q23,theory_layout,YES,YES
gemini-3-flash-preview,Q24,component_datasheet,NO,NO
gemini-3-flash-preview,Q25,component_datasheet,YES,YES
gemini-3-flash-preview,Q26,spice_behaviour,NO,NO
gemini-3-flash-preview,Q27,theory_layout,YES,YES
gemini-3-flash-preview,Q28,component_datasheet,NO,NO
gemini-3-flash-preview,Q29,component_datasheet,YES,NO
gemini-3-flash-preview,Q30,spice_behaviour,NO,NO
gemini-3-flash-preview,Q31,component_datasheet,YES,YES
gemini-3-flash-preview,Q32,theory_layout,YES,YES
gemini-3-flash-preview,Q33,spice_behaviour,YES,YES
gemini-3-flash-preview,Q34,component_datasheet,NO,NO
gemini-3-flash-preview,Q35,component_datasheet,YES,YES
gemini-3-flash-preview,Q36,spice_behaviour,NO,NO
gemini-3-flash-preview,Q37,component_datasheet,NO,NO
gemini-3-flash-preview,Q38,theory_layout,NO,NO
gemini-3-flash-preview,Q39,spice_behaviour,NO,YES
gemini-3-flash-preview,Q40,component_datasheet,YES,NO
gemini-3-flash-preview,Q41,theory_layout,YES,YES
gemini-3-flash-preview,Q42,spice_behaviour,NO,NO
gemini-3-flash-preview,Q43,component_datasheet,NO,NO
gemini-3-flash-preview,Q44,spice_behaviour,YES,NO
gemini-3-flash-preview,Q45,theory_layout,NO,NO
gemini-3-flash-preview,Q46,spice_behaviour,NO,NO
gemini-3-flash-preview,Q47,theory_layout,YES,YES
gemini-3-flash-preview,Q48,theory_layout,YES,YES
gemini-3-flash-preview,Q49,theory_layout,YES,YES
gemini-3-flash-preview,Q50,spice_behaviour,NO,NO
gemini-3-flash-preview,Q51,spice_behaviour,YES,YES
gemini-3-flash-preview,Q52,theory_layout,YES,YES
gemini-3-flash-preview,Q53,theory_layout,YES,YES
gemini-3-flash-preview,Q54,spice_behaviour,NO,NO
gemini-3-flash-preview,Q55,theory_layout,NO,NO
gemini-3-flash-preview,Q56,theory_layout,YES,YES
gemini-3-flash-preview,Q57,component_datasheet,YES,NO
gemini-3-flash-preview,Q58,theory_layout,NO,NO
gemini-3-flash-preview,Q59,theory_layout,YES,YES
gemini-3-flash-preview,Q60,spice_behaviour,YES,YES
Accuracy,Precision,Recall,F1 Score
0.8,0.8053392658509455,0.8351648351648351,0.7963800904977376
