Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,component_datasheet,YES,YES
gpt-5.4-nano,Q2,spice_behaviour,YES,YES
gpt-5.4-nano,Q3,theory_layout,YES,NO
gpt-5.4-nano,Q4,component_datasheet,NO,NO
gpt-5.4-nano,Q5,spice_behaviour,YES,YES
gpt-5.4-nano,Q6,component_datasheet,YES,YES
gpt-5.4-nano,Q7,theory_layout,YES,NO
gpt-5.4-nano,Q8,spice_behaviour,YES,NO
gpt-5.4-nano,Q9,component_datasheet,YES,YES
gpt-5.4-nano,Q10,spice_behaviour,YES,YES
gpt-5.4-nano,Q11,theory_layout,YES,NO
gpt-5.4-nano,Q12,spice_behaviour,YES,NO
gpt-5.4-nano,Q13,component_datasheet,YES,NO
gpt-5.4-nano,Q14,component_datasheet,YES,YES
gpt-5.4-nano,Q15,spice_behaviour,NO,NO
Accuracy,Precision,Recall,F1 Score
0.6,0.625,0.7692307692307692,0.55
