Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q2,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q3,theory_layout,YES,NO
llama-3.3-70b-instruct,Q4,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q5,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q6,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q7,theory_layout,YES,YES
llama-3.3-70b-instruct,Q8,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q9,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q10,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q11,theory_layout,YES,YES
llama-3.3-70b-instruct,Q12,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q13,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q14,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q15,spice_behaviour,NO,NO
Accuracy,Precision,Recall,F1 Score
0.4666666666666667,0.6,0.6923076923076923,0.4444444444444444
