Model,Question,Category,Actual_Response,Predicted_Response
claude-sonnet-4.6,Q1,component_datasheet,YES,YES
claude-sonnet-4.6,Q2,spice_behaviour,YES,YES
claude-sonnet-4.6,Q3,theory_layout,YES,YES
claude-sonnet-4.6,Q4,component_datasheet,NO,NO
claude-sonnet-4.6,Q5,spice_behaviour,YES,YES
claude-sonnet-4.6,Q6,component_datasheet,YES,YES
claude-sonnet-4.6,Q7,theory_layout,YES,YES
claude-sonnet-4.6,Q8,spice_behaviour,YES,YES
claude-sonnet-4.6,Q9,component_datasheet,YES,NO
claude-sonnet-4.6,Q10,spice_behaviour,YES,YES
claude-sonnet-4.6,Q11,theory_layout,YES,YES
claude-sonnet-4.6,Q12,spice_behaviour,YES,NO
claude-sonnet-4.6,Q13,component_datasheet,YES,YES
claude-sonnet-4.6,Q14,component_datasheet,YES,YES
claude-sonnet-4.6,Q15,spice_behaviour,NO,NO
claude-sonnet-4.6,Q16,theory_layout,YES,YES
claude-sonnet-4.6,Q17,component_datasheet,YES,YES
claude-sonnet-4.6,Q18,spice_behaviour,NO,NO
claude-sonnet-4.6,Q19,component_datasheet,NO,NO
claude-sonnet-4.6,Q20,theory_layout,YES,YES
claude-sonnet-4.6,Q21,component_datasheet,YES,YES
claude-sonnet-4.6,Q22,spice_behaviour,YES,YES
claude-sonnet-4.6,Q23,theory_layout,YES,YES
claude-sonnet-4.6,Q24,component_datasheet,NO,NO
claude-sonnet-4.6,Q25,component_datasheet,YES,YES
claude-sonnet-4.6,Q26,spice_behaviour,NO,NO
claude-sonnet-4.6,Q27,theory_layout,YES,YES
claude-sonnet-4.6,Q28,component_datasheet,NO,NO
claude-sonnet-4.6,Q29,component_datasheet,YES,NO
claude-sonnet-4.6,Q30,spice_behaviour,NO,NO
claude-sonnet-4.6,Q31,component_datasheet,YES,YES
claude-sonnet-4.6,Q32,theory_layout,YES,YES
claude-sonnet-4.6,Q33,spice_behaviour,YES,YES
claude-sonnet-4.6,Q34,component_datasheet,NO,NO
claude-sonnet-4.6,Q35,component_datasheet,YES,YES
claude-sonnet-4.6,Q36,spice_behaviour,NO,NO
claude-sonnet-4.6,Q37,component_datasheet,NO,NO
claude-sonnet-4.6,Q38,theory_layout,NO,NO
claude-sonnet-4.6,Q39,spice_behaviour,NO,YES
claude-sonnet-4.6,Q40,component_datasheet,YES,NO
claude-sonnet-4.6,Q41,theory_layout,YES,YES
claude-sonnet-4.6,Q42,spice_behaviour,NO,NO
claude-sonnet-4.6,Q43,component_datasheet,NO,NO
claude-sonnet-4.6,Q44,spice_behaviour,YES,NO
claude-sonnet-4.6,Q45,theory_layout,NO,NO
claude-sonnet-4.6,Q46,spice_behaviour,NO,NO
claude-sonnet-4.6,Q47,theory_layout,YES,YES
claude-sonnet-4.6,Q48,theory_layout,YES,YES
claude-sonnet-4.6,Q49,theory_layout,YES,YES
claude-sonnet-4.6,Q50,spice_behaviour,NO,NO
claude-sonnet-4.6,Q51,spice_behaviour,YES,YES
claude-sonnet-4.6,Q52,theory_layout,YES,YES
claude-sonnet-4.6,Q53,theory_layout,YES,YES
claude-sonnet-4.6,Q54,spice_behaviour,NO,NO
claude-sonnet-4.6,Q55,theory_layout,NO,NO
claude-sonnet-4.6,Q56,theory_layout,YES,YES
claude-sonnet-4.6,Q57,component_datasheet,YES,YES
claude-sonnet-4.6,Q58,theory_layout,NO,NO
claude-sonnet-4.6,Q59,theory_layout,YES,YES
claude-sonnet-4.6,Q60,spice_behaviour,YES,YES
Accuracy,Precision,Recall,F1 Score
0.9,0.8857142857142857,0.9120879120879121,0.8942420681551116
