toolmode,model,category,accuracy,precision,recall,f1_score,total_questions,num_projects
NNet&NCir,claude-sonnet-4.6,ALL,0.7871,0.8037,0.8219,0.7804,479,8
NNet&NCir,claude-sonnet-4.6,component_datasheet,0.7063,0.7526,0.7449,0.6808,160,8
NNet&NCir,claude-sonnet-4.6,spice_behaviour,0.7039,0.7442,0.695,0.6449,159,8
NNet&NCir,claude-sonnet-4.6,theory_layout,0.95,0.9205,0.9557,0.9281,160,8
NNet&NCir,gemini-3-flash-preview,ALL,0.8563,0.8484,0.876,0.8484,480,8
NNet&NCir,gemini-3-flash-preview,component_datasheet,0.8375,0.8255,0.849,0.8225,160,8
NNet&NCir,gemini-3-flash-preview,spice_behaviour,0.75,0.7691,0.732,0.6862,160,8
NNet&NCir,gemini-3-flash-preview,theory_layout,0.9812,0.9708,0.9751,0.9696,160,8
NNet&NCir,gpt-5.4-nano,ALL,0.5479,0.7111,0.6397,0.5269,480,8
NNet&NCir,gpt-5.4-nano,component_datasheet,0.4875,0.7124,0.5886,0.4383,160,8
NNet&NCir,gpt-5.4-nano,spice_behaviour,0.55,0.5183,0.534,0.4018,160,8
NNet&NCir,gpt-5.4-nano,theory_layout,0.6062,0.6442,0.7309,0.5639,160,8
NNet&NCir,llama-3.3-70b-instruct,ALL,0.5606,0.7024,0.6513,0.5477,411,7
NNet&NCir,llama-3.3-70b-instruct,component_datasheet,0.534,0.6884,0.6367,0.5114,137,7
NNet&NCir,llama-3.3-70b-instruct,spice_behaviour,0.5744,0.4267,0.5119,0.393,137,7
NNet&NCir,llama-3.3-70b-instruct,theory_layout,0.5747,0.6467,0.7309,0.5419,137,7
NNet&PCir,claude-sonnet-4.6,ALL,0.7917,0.7854,0.8351,0.7603,120,8
NNet&PCir,claude-sonnet-4.6,component_datasheet,0.8489,0.8729,0.875,0.8309,43,8
NNet&PCir,claude-sonnet-4.6,spice_behaviour,0.7458,0.7521,0.7458,0.6962,40,8
NNet&PCir,claude-sonnet-4.6,theory_layout,0.803,0.75,0.7562,0.7141,37,8
NNet&PCir,gemini-3-flash-preview,ALL,0.825,0.8081,0.8664,0.7989,120,8
NNet&PCir,gemini-3-flash-preview,component_datasheet,0.751,0.6719,0.726,0.6672,43,8
NNet&PCir,gemini-3-flash-preview,spice_behaviour,0.75,0.7458,0.7542,0.7,40,8
NNet&PCir,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,37,8
NNet&PCir,gpt-5.4-nano,ALL,0.6,0.6847,0.6942,0.5771,120,8
