project,file,category,yes_count,no_count,total
AcornRobotElectronics,cm4-robot_300_questions.json,component_datasheet,50,50,100
AcornRobotElectronics,cm4-robot_300_questions.json,spice_behaviour,50,50,100
AcornRobotElectronics,cm4-robot_300_questions.json,theory_layout,50,50,100
AcornRobotElectronics,cm4-robot_300_questions.json,ALL,150,150,300
AcornRobotElectronics,cm4-robot_60_questions.json,component_datasheet,9,11,20
AcornRobotElectronics,cm4-robot_60_questions.json,spice_behaviour,15,5,20
AcornRobotElectronics,cm4-robot_60_questions.json,theory_layout,15,5,20
AcornRobotElectronics,cm4-robot_60_questions.json,ALL,39,21,60
CF-Chef,CF-Chef_300_questions.json,component_datasheet,50,50,100
CF-Chef,CF-Chef_300_questions.json,spice_behaviour,50,50,100
CF-Chef,CF-Chef_300_questions.json,theory_layout,50,50,100
CF-Chef,CF-Chef_300_questions.json,ALL,150,150,300
CF-Chef,CF-Chef_60_questions.json,component_datasheet,13,7,20
CF-Chef,CF-Chef_60_questions.json,spice_behaviour,8,12,20
CF-Chef,CF-Chef_60_questions.json,theory_layout,13,7,20
CF-Chef,CF-Chef_60_questions.json,ALL,34,26,60
HadesFCS,Hades_300_questions.json,component_datasheet,50,50,100
HadesFCS,Hades_300_questions.json,spice_behaviour,50,50,100
HadesFCS,Hades_300_questions.json,theory_layout,50,50,100
HadesFCS,Hades_300_questions.json,ALL,150,150,300
HadesFCS,Hades_60_questions.json,component_datasheet,12,8,20
HadesFCS,Hades_60_questions.json,spice_behaviour,7,13,20
HadesFCS,Hades_60_questions.json,theory_layout,18,2,20
HadesFCS,Hades_60_questions.json,ALL,37,23,60
Meshinger,Meshinger_300_questions.json,component_datasheet,50,50,100
Meshinger,Meshinger_300_questions.json,spice_behaviour,50,50,100
Meshinger,Meshinger_300_questions.json,theory_layout,50,50,100
Meshinger,Meshinger_300_questions.json,ALL,150,150,300
Meshinger,Meshinger_60_questions.json,component_datasheet,16,4,20
Meshinger,Meshinger_60_questions.json,spice_behaviour,12,8,20
Meshinger,Meshinger_60_questions.json,theory_layout,18,2,20
Meshinger,Meshinger_60_questions.json,ALL,46,14,60
OPNhydro-r2,OPNhydro_r2_300_questions.json,component_datasheet,50,50,100
OPNhydro-r2,OPNhydro_r2_300_questions.json,spice_behaviour,50,50,100
OPNhydro-r2,OPNhydro_r2_300_questions.json,theory_layout,50,50,100
OPNhydro-r2,OPNhydro_r2_300_questions.json,ALL,150,150,300
OPNhydro-r2,OPNhydro_r2_60_questions.json,component_datasheet,14,6,20
OPNhydro-r2,OPNhydro_r2_60_questions.json,spice_behaviour,10,10,20
OPNhydro-r2,OPNhydro_r2_60_questions.json,theory_layout,15,5,20
OPNhydro-r2,OPNhydro_r2_60_questions.json,ALL,39,21,60
PortalHardware,PortalHardware_300_questions.json,component_datasheet,50,50,100
PortalHardware,PortalHardware_300_questions.json,spice_behaviour,50,50,100
PortalHardware,PortalHardware_300_questions.json,theory_layout,50,50,100
PortalHardware,PortalHardware_300_questions.json,ALL,150,150,300
PortalHardware,PortalHardware_60_questions.json,component_datasheet,15,5,20
PortalHardware,PortalHardware_60_questions.json,spice_behaviour,9,11,20
PortalHardware,PortalHardware_60_questions.json,theory_layout,18,2,20
PortalHardware,PortalHardware_60_questions.json,ALL,42,18,60
fan_controller,fan_controller_300_questions.json,component_datasheet,50,50,100
fan_controller,fan_controller_300_questions.json,spice_behaviour,50,50,100
fan_controller,fan_controller_300_questions.json,theory_layout,50,50,100
fan_controller,fan_controller_300_questions.json,ALL,150,150,300
fan_controller,fan_controller_60_questions.json,component_datasheet,13,7,20
fan_controller,fan_controller_60_questions.json,spice_behaviour,10,10,20
fan_controller,fan_controller_60_questions.json,theory_layout,16,4,20
fan_controller,fan_controller_60_questions.json,ALL,39,21,60
stack-chan,m5-pantilt_300_questions.json,component_datasheet,50,50,100
stack-chan,m5-pantilt_300_questions.json,spice_behaviour,50,50,100
stack-chan,m5-pantilt_300_questions.json,theory_layout,50,50,100
stack-chan,m5-pantilt_300_questions.json,ALL,150,150,300
stack-chan,m5-pantilt_60_questions.json,component_datasheet,7,13,20
stack-chan,m5-pantilt_60_questions.json,spice_behaviour,6,14,20
stack-chan,m5-pantilt_60_questions.json,theory_layout,15,5,20
stack-chan,m5-pantilt_60_questions.json,ALL,28,32,60
AcornRobotElectronics,cm4-robot_60_questions_balanced.json,component_datasheet,40,40,80
AcornRobotElectronics,cm4-robot_60_questions_balanced.json,spice_behaviour,40,40,80
AcornRobotElectronics,cm4-robot_60_questions_balanced.json,theory_layout,40,40,80
AcornRobotElectronics,cm4-robot_60_questions_balanced.json,ALL,120,120,240
CF-Chef,CF-Chef_60_questions_balanced.json,component_datasheet,40,40,80
CF-Chef,CF-Chef_60_questions_balanced.json,spice_behaviour,41,39,80
CF-Chef,CF-Chef_60_questions_balanced.json,theory_layout,39,41,80
CF-Chef,CF-Chef_60_questions_balanced.json,ALL,120,120,240
HadesFCS,Hades_60_questions_balanced.json,component_datasheet,40,40,80
HadesFCS,Hades_60_questions_balanced.json,spice_behaviour,40,40,80
HadesFCS,Hades_60_questions_balanced.json,theory_layout,40,40,80
HadesFCS,Hades_60_questions_balanced.json,ALL,120,120,240
Meshinger,Meshinger_60_questions_balanced.json,component_datasheet,40,40,80
Meshinger,Meshinger_60_questions_balanced.json,spice_behaviour,40,40,80
Meshinger,Meshinger_60_questions_balanced.json,theory_layout,39,41,80
Meshinger,Meshinger_60_questions_balanced.json,ALL,119,121,240
OPNhydro-r2,OPNhydro_r2_60_questions_balanced.json,component_datasheet,40,40,80
OPNhydro-r2,OPNhydro_r2_60_questions_balanced.json,spice_behaviour,40,40,80
OPNhydro-r2,OPNhydro_r2_60_questions_balanced.json,theory_layout,40,40,80
OPNhydro-r2,OPNhydro_r2_60_questions_balanced.json,ALL,120,120,240
PortalHardware,PortalHardware_60_questions_balanced.json,component_datasheet,40,40,80
PortalHardware,PortalHardware_60_questions_balanced.json,spice_behaviour,40,40,80
PortalHardware,PortalHardware_60_questions_balanced.json,theory_layout,38,42,80
PortalHardware,PortalHardware_60_questions_balanced.json,ALL,118,122,240
fan_controller,fan_controller_60_questions_balanced.json,component_datasheet,40,40,80
fan_controller,fan_controller_60_questions_balanced.json,spice_behaviour,40,40,80
fan_controller,fan_controller_60_questions_balanced.json,theory_layout,40,40,80
