Model,Question,Category,Actual_Response,Predicted_Response
gpt-5.4-nano,Q1,spice_behaviour,NO,NO
gpt-5.4-nano,Q2,theory_layout,YES,NO
gpt-5.4-nano,Q3,spice_behaviour,YES,NO
gpt-5.4-nano,Q4,component_datasheet,NO,NO
gpt-5.4-nano,Q5,theory_layout,YES,NO
gpt-5.4-nano,Q6,spice_behaviour,YES,YES
gpt-5.4-nano,Q7,component_datasheet,NO,NO
gpt-5.4-nano,Q8,spice_behaviour,NO,NO
gpt-5.4-nano,Q9,component_datasheet,NO,YES
gpt-5.4-nano,Q10,spice_behaviour,NO,NO
gpt-5.4-nano,Q11,theory_layout,NO,NO
gpt-5.4-nano,Q12,component_datasheet,YES,NO
gpt-5.4-nano,Q13,spice_behaviour,YES,YES
gpt-5.4-nano,Q14,theory_layout,YES,NO
gpt-5.4-nano,Q15,component_datasheet,NO,NO
gpt-5.4-nano,Q16,spice_behaviour,NO,NO
gpt-5.4-nano,Q17,theory_layout,NO,NO
gpt-5.4-nano,Q18,component_datasheet,NO,NO
gpt-5.4-nano,Q19,spice_behaviour,YES,NO
gpt-5.4-nano,Q20,theory_layout,YES,NO
gpt-5.4-nano,Q21,component_datasheet,YES,YES
gpt-5.4-nano,Q22,spice_behaviour,NO,NO
gpt-5.4-nano,Q23,component_datasheet,YES,YES
gpt-5.4-nano,Q24,theory_layout,YES,NO
gpt-5.4-nano,Q25,spice_behaviour,YES,YES
gpt-5.4-nano,Q26,component_datasheet,YES,YES
gpt-5.4-nano,Q27,spice_behaviour,NO,NO
gpt-5.4-nano,Q28,theory_layout,NO,NO
gpt-5.4-nano,Q29,component_datasheet,NO,NO
gpt-5.4-nano,Q30,spice_behaviour,YES,YES
gpt-5.4-nano,Q31,theory_layout,YES,NO
gpt-5.4-nano,Q32,component_datasheet,NO,NO
gpt-5.4-nano,Q33,spice_behaviour,NO,NO
gpt-5.4-nano,Q34,theory_layout,YES,NO
gpt-5.4-nano,Q35,theory_layout,YES,NO
gpt-5.4-nano,Q36,spice_behaviour,NO,NO
gpt-5.4-nano,Q37,component_datasheet,NO,NO
gpt-5.4-nano,Q38,spice_behaviour,NO,NO
gpt-5.4-nano,Q39,component_datasheet,NO,NO
gpt-5.4-nano,Q40,theory_layout,NO,NO
gpt-5.4-nano,Q41,spice_behaviour,NO,NO
gpt-5.4-nano,Q42,theory_layout,YES,NO
gpt-5.4-nano,Q43,component_datasheet,YES,YES
gpt-5.4-nano,Q44,spice_behaviour,NO,NO
gpt-5.4-nano,Q45,theory_layout,YES,NO
gpt-5.4-nano,Q46,component_datasheet,YES,NO
gpt-5.4-nano,Q47,theory_layout,NO,NO
gpt-5.4-nano,Q48,spice_behaviour,NO,NO
gpt-5.4-nano,Q49,theory_layout,YES,NO
gpt-5.4-nano,Q50,component_datasheet,YES,YES
gpt-5.4-nano,Q51,component_datasheet,NO,NO
gpt-5.4-nano,Q52,spice_behaviour,NO,NO
gpt-5.4-nano,Q53,theory_layout,YES,NO
gpt-5.4-nano,Q54,component_datasheet,NO,NO
gpt-5.4-nano,Q55,spice_behaviour,NO,NO
gpt-5.4-nano,Q56,theory_layout,YES,NO
gpt-5.4-nano,Q57,component_datasheet,NO,NO
gpt-5.4-nano,Q58,theory_layout,YES,NO
gpt-5.4-nano,Q59,component_datasheet,NO,NO
gpt-5.4-nano,Q60,theory_layout,YES,NO
Accuracy,Precision,Recall,F1 Score
0.6666666666666666,0.76,0.6450892857142857,0.6148908857509627
