Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q2,theory_layout,YES,YES
llama-3.3-70b-instruct,Q3,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q4,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q5,theory_layout,YES,NO
llama-3.3-70b-instruct,Q6,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q7,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q8,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q9,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q10,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q11,theory_layout,NO,NO
llama-3.3-70b-instruct,Q12,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q13,spice_behaviour,YES,YES
llama-3.3-70b-instruct,Q14,theory_layout,YES,NO
llama-3.3-70b-instruct,Q15,component_datasheet,NO,NO
Accuracy,Precision,Recall,F1 Score
0.8,0.8636363636363636,0.7857142857142857,0.784688995215311
