Model,Question,Category,Actual_Response,Predicted_Response
gemini-3-flash-preview,Q1,spice_behaviour,NO,NO
gemini-3-flash-preview,Q2,theory_layout,YES,YES
gemini-3-flash-preview,Q3,spice_behaviour,YES,NO
gemini-3-flash-preview,Q4,component_datasheet,NO,NO
gemini-3-flash-preview,Q5,theory_layout,YES,YES
gemini-3-flash-preview,Q6,spice_behaviour,YES,NO
gemini-3-flash-preview,Q7,component_datasheet,NO,NO
gemini-3-flash-preview,Q8,spice_behaviour,NO,NO
gemini-3-flash-preview,Q9,component_datasheet,NO,NO
gemini-3-flash-preview,Q10,spice_behaviour,NO,NO
gemini-3-flash-preview,Q11,theory_layout,NO,NO
gemini-3-flash-preview,Q12,component_datasheet,YES,YES
gemini-3-flash-preview,Q13,spice_behaviour,YES,NO
gemini-3-flash-preview,Q14,theory_layout,YES,YES
gemini-3-flash-preview,Q15,component_datasheet,NO,NO
gemini-3-flash-preview,Q16,spice_behaviour,NO,NO
gemini-3-flash-preview,Q17,theory_layout,NO,NO
gemini-3-flash-preview,Q18,component_datasheet,NO,NO
gemini-3-flash-preview,Q19,spice_behaviour,YES,NO
gemini-3-flash-preview,Q20,theory_layout,YES,YES
gemini-3-flash-preview,Q21,component_datasheet,YES,YES
gemini-3-flash-preview,Q22,spice_behaviour,NO,NO
gemini-3-flash-preview,Q23,component_datasheet,YES,YES
gemini-3-flash-preview,Q24,theory_layout,YES,YES
gemini-3-flash-preview,Q25,spice_behaviour,YES,NO
gemini-3-flash-preview,Q26,component_datasheet,YES,YES
gemini-3-flash-preview,Q27,spice_behaviour,NO,NO
gemini-3-flash-preview,Q28,theory_layout,NO,NO
gemini-3-flash-preview,Q29,component_datasheet,NO,NO
gemini-3-flash-preview,Q30,spice_behaviour,YES,NO
gemini-3-flash-preview,Q31,theory_layout,YES,YES
gemini-3-flash-preview,Q32,component_datasheet,NO,NO
gemini-3-flash-preview,Q33,spice_behaviour,NO,NO
gemini-3-flash-preview,Q34,theory_layout,YES,YES
gemini-3-flash-preview,Q35,theory_layout,YES,YES
gemini-3-flash-preview,Q36,spice_behaviour,NO,NO
gemini-3-flash-preview,Q37,component_datasheet,NO,NO
gemini-3-flash-preview,Q38,spice_behaviour,NO,NO
gemini-3-flash-preview,Q39,component_datasheet,NO,NO
gemini-3-flash-preview,Q40,theory_layout,NO,NO
gemini-3-flash-preview,Q41,spice_behaviour,NO,NO
gemini-3-flash-preview,Q42,theory_layout,YES,YES
gemini-3-flash-preview,Q43,component_datasheet,YES,YES
gemini-3-flash-preview,Q44,spice_behaviour,NO,NO
gemini-3-flash-preview,Q45,theory_layout,YES,YES
gemini-3-flash-preview,Q46,component_datasheet,YES,YES
gemini-3-flash-preview,Q47,theory_layout,NO,NO
gemini-3-flash-preview,Q48,spice_behaviour,NO,NO
gemini-3-flash-preview,Q49,theory_layout,YES,YES
gemini-3-flash-preview,Q50,component_datasheet,YES,YES
gemini-3-flash-preview,Q51,component_datasheet,NO,NO
gemini-3-flash-preview,Q52,spice_behaviour,NO,NO
gemini-3-flash-preview,Q53,theory_layout,YES,YES
gemini-3-flash-preview,Q54,component_datasheet,NO,NO
gemini-3-flash-preview,Q55,spice_behaviour,NO,NO
gemini-3-flash-preview,Q56,theory_layout,YES,NO
gemini-3-flash-preview,Q57,component_datasheet,NO,NO
gemini-3-flash-preview,Q58,theory_layout,YES,YES
gemini-3-flash-preview,Q59,component_datasheet,NO,NO
gemini-3-flash-preview,Q60,theory_layout,YES,NO
Accuracy,Precision,Recall,F1 Score
0.8666666666666667,0.9,0.8571428571428572,0.8611111111111112
