Model,Question,Category,Actual_Response,Predicted_Response
llama-3.3-70b-instruct,Q1,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q2,theory_layout,YES,YES
llama-3.3-70b-instruct,Q3,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q4,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q5,theory_layout,YES,YES
llama-3.3-70b-instruct,Q6,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q7,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q8,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q9,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q10,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q11,theory_layout,NO,NO
llama-3.3-70b-instruct,Q12,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q13,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q14,theory_layout,YES,NO
llama-3.3-70b-instruct,Q15,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q16,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q17,theory_layout,NO,NO
llama-3.3-70b-instruct,Q18,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q19,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q20,theory_layout,YES,NO
llama-3.3-70b-instruct,Q21,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q22,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q23,component_datasheet,YES,NO
llama-3.3-70b-instruct,Q24,theory_layout,YES,YES
llama-3.3-70b-instruct,Q25,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q26,component_datasheet,YES,YES
llama-3.3-70b-instruct,Q27,spice_behaviour,NO,YES
llama-3.3-70b-instruct,Q28,theory_layout,NO,NO
llama-3.3-70b-instruct,Q29,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q30,spice_behaviour,YES,NO
llama-3.3-70b-instruct,Q31,theory_layout,YES,NO
llama-3.3-70b-instruct,Q32,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q33,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q34,theory_layout,YES,YES
llama-3.3-70b-instruct,Q35,theory_layout,YES,YES
llama-3.3-70b-instruct,Q36,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q37,component_datasheet,NO,NO
llama-3.3-70b-instruct,Q38,spice_behaviour,NO,NO
llama-3.3-70b-instruct,Q39,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q40,theory_layout,NO,N/A
llama-3.3-70b-instruct,Q41,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q42,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q43,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q44,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q45,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q46,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q47,theory_layout,NO,N/A
llama-3.3-70b-instruct,Q48,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q49,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q50,component_datasheet,YES,N/A
llama-3.3-70b-instruct,Q51,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q52,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q53,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q54,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q55,spice_behaviour,NO,N/A
llama-3.3-70b-instruct,Q56,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q57,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q58,theory_layout,YES,N/A
llama-3.3-70b-instruct,Q59,component_datasheet,NO,N/A
llama-3.3-70b-instruct,Q60,theory_layout,YES,N/A
Accuracy,Precision,Recall,F1 Score
0.7105263157894737,0.7720306513409961,0.6972222222222222,0.6840513983371126
